id,catCode,bu,lv1,lv1_order,lv2,lv2_order,lv3,lv3_order,name,order,biko,quest,charalist
1,ANOMALY_QUEST,"４部",,,,,,,"新たなる力",1,,,"主人公,ニピカ"
2,ANOMALY_QUEST,"４部",,,,,,,"副都大掃除",2,,,"主人公,ピリカ,ガブリエラ,シルヴァ,アルドラ,ヴォルグ,ディーハルト,ラインベルト"
3,ANOMALY_QUEST,"４部",,,,,,,"大神殿地下迷宮",3,,,"主人公,ピリカ,テレサ,リリス,メルヴィナ,アントン"
4,ANOMALY_QUEST,"４部",,,,,,,"フロス課外授業",4,,,"主人公,ピリカ,アリーチェ,ベルタ,カーリン,デルフィーナ,エステラ,チアリー,ミーナ,ヴィニア,ティニア"
5,ANOMALY_QUEST,"４部",,,,,,,"砂漠の夜の夢",5,,,"主人公,ピリカ,エシャル,シャディア,ドゥルダナ,ムハバード,アシュリナ,カディル,シャクール,ティエンセン,カクト"
6,ANOMALY_QUEST,"４部",,,,,,,"世界樹の図書館棚卸",6,,,"主人公,ピリカ,セレステ,クーシャン,シーシャン,アゼロ,ナランハ,ビオレータ,ユグド,トゥキファト,サンデーロ,ヴィーボラ,リノセ"
7,ANOMALY_QUEST,"４部",,,,,,,"ゆうしゃくえすと",7,,,"主人公,ピリカ,アマツ,ヒトリ,ベニガサ,オウシン,トヨチ,ユウリャク,ツル"
8,ANOMALY_QUEST,"４部",,,,,,,"幽鬼は波間に",8,,,"主人公,ピリカ,ミラ,マレーナ"
9,ANOMALY_QUEST,"４部",,,,,,,"脱兎ニンジン",9,,,"主人公,ピリカ,ガジジナ,トリリカ,ラヴィヴィサ,パモモイ,ミリリア"
10,ANOMALY_QUEST,"４部",,,,,,,"監獄の熱闘",10,"ローゼマリー「監獄の平和はアタシが守る！」_NL_ピリカ「もしかしてローゼマリー、元に戻らないほうがいいんじゃ」",,"主人公,ピリカ,レオン,ローゼマリー,アメリー"
11,ANOMALY_QUEST,"４部",,,,,,,"いのちをまもれ！",11,,,"主人公,ピリカ,アル,ムニ,ネノ,リン,ナロ,セト,ハグ"
12,ANOMALY_QUEST,"４部",,,,,,,"治外法権",12,,,"主人公,ピリカ,ジークルーン,ハンネス,エーリヒ,ランドルフ"
13,ANOMALY_QUEST,"４部",,,,,,,"おかえりなさい",13,,,"主人公,ピリカ,フィーナ,リヴェラ,ガラクスィアス,シーター,グール＝ヴール,レノ,セレン,管理者の男（フィーナ父）,記述者の女（フィーナ母）"
14,ANOMALY_QUEST,"４部",,,,,,,"【貴重】剣聖疾駆",14,,,"主人公,ピリカ,アグダラ"
15,ANOMALY_QUEST,"４部",,,,,,,"【貴重】迷宮山脈大発破",15,,,"主人公,ピリカ,オルガ,ロロ,ドルマ,スケドル（土妖精）,カクドル（土妖精）,トーガ,ラブラ,モルバ,バルドル"
16,ANOMALY_QUEST,"４部",,,,,,,"【貴重】義勇軍史",16,,,"主人公,ピリカ,フィーナ,ヘリオス,アポロ,トロメア"
17,ANOMALY_QUEST,"４部",,,,,,,"【貴重】義勇軍大迷宮",17,,,"主人公,ピリカ,フィーナ,カイン,ミシディア,マリナ,ペイシェ,ミョルン,ヘリオス,アポロ,トロメア"
18,ANOMALY_QUEST,"４部",,,,,,,"【超貴重】黒と染まらぬ者",18,,,"主人公,ピリカ,黒騎士,黒の根源"
19,ANOMALY_QUEST,"４部",,,,,,,"入れ替わる乙女たち",19,,,"主人公,ピリカ,フィーナ,ユリアナ（inルイーゼ）,ルイーゼ（inユリアナ）,アインスロット,ウェイン,イルヘルミナ（inダナディ）,ダナディ（inイルヘルミナ）"
20,ANOMALY_QUEST,"４部",,,,,,,"逆襲の魔法少女！？",20,,,"主人公,ピリカ,フィーナ,カイン,ミシディア,マリナ,リーゼロッテ,パルナ,プルナ"
21,ANOMALY_QUEST,"４部",,,,,,,"【貴重】闇ノ者ノ戦記",21,"漆黒の四光　爆★誕_NL_必殺技は四光漆黒舞踏",,"主人公,ピリカ,フィーナ,アイリ,ユギギ,セレステ"
22,ANOMALY_QUEST,"４部",,,,,,,"眠れぬキキ",22,,,"主人公,ピリカ,フィーナ,ロロ,キキ,アイダ,フィ＝フィ,チャム=チャム,ヨヨ,ヨッタ=ヨッタ"
23,ANOMALY_QUEST,"４部",,,,,,,"もふもふが、きえたひ",23,,,"主人公,ピリカ,フィーナ,オヅミ,ヤイト,コドロ,モガリ"
24,ANOMALY_QUEST,"４部",,,,,,,"【超貴重】続・義勇軍史",24,,,"主人公,ピリカ,ヘリオス,アリーチェ,エシャル,セレステ,アマツ"
25,ANOMALY_QUEST,"４部",,,,,,,"もやもやのねむねむ",25,,,"主人公,ピリカ,シェギギム,テリリア,ガジジナ,チロルル,フィーナ"
26,ANOMALY_QUEST,"４部",,,,,,,"会イタイフタリ",26,,,"主人公,ピリカ,フィーナ,レオン,ローゼマリー,ヴァリー,ゾーイ"
27,ANOMALY_QUEST,"４部",,,,,,,"完全な肉体",27,,,"主人公,ピリカ,フィーナ,アロイス,カタリナ"
28,ANOMALY_QUEST,"４部",,,,,,,"骨になっても",28,,,"主人公,ピリカ,スカレット,ガシャ,カラ,アデル,パーシェル,ヨハン,アリエル"
29,ANOMALY_QUEST,"４部",,,,,,,"楽しいカジノ",29,,,"主人公,ピリカ,フィーナ,コモディア,シース"
30,ANOMALY_QUEST,"４部",,,,,,,"探し物",30,,,"主人公,ピリカ,フィーナ,ラール,ニール,ドゥルダナ"
31,ANOMALY_QUEST,"４部",,,,,,,"風を感じたい",31,,,"主人公,ピリカ,フィーナ,バラクーダ,パラキナ"
32,ANOMALY_QUEST,"４部",,,,,,,"灰色の友達",32,,,"主人公,ピリカ,フィーナ,イフ,ホパ,リニ"
33,ANOMALY_QUEST,"４部",,,,,,,"若き騎士道",33,,,"主人公,ピリカ,アントン,トーマス,マリス"
34,ANOMALY_QUEST,"４部",,,,,,,"新女王の試練",34,,,"主人公,ピリカ,バリエナ,レアーオ,ユニカ,オルオレータ,ミシディア"
35,ANOMALY_QUEST,"４部",,,,,,,"虎・虎・虎！",35,,,"主人公,ピリカ,フィーナ,グララオ,ズィガガ,ガジジナ,ギザザヤ"
36,ANOMALY_QUEST,"４部",,,,,,,"ドリル精神論！！",36,,,"主人公,ピリカ,フィーナ,クルト,カーヤ,エレメンガルト,カイン,フロレンツィア"
