id,catCode,lv1,lv1_order,lv2,lv2_order,lv3,lv3_order,name,order,biko,charalist
1,CHAIN_STORY,"聖王女の仇討",1,,,,,"噂と影",1,,"主人公,フィーナ,ピリカ,グレッグ,カイ,ライネル"
2,CHAIN_STORY,"聖王女の仇討",1,,,,,"ケンカと奇襲",2,,"主人公,フィーナ,ピリカ,グレッグ,カイ,ライネル,ユリアナ,アインスロット（声のみ）"
3,CHAIN_STORY,"聖王女の仇討",1,,,,,"焦りと不安",3,,"主人公,フィーナ,ピリカ,グレッグ,カイ,アインスロット"
4,CHAIN_STORY,"聖王女の仇討",1,,,,,"生と死",4,,"主人公,フィーナ,ピリカ,グレッグ,カイ,ライネル,ユリアナ"
5,CHAIN_STORY,"聖王女の仇討",1,,,,,"熱と迷い",5,,"主人公,フィーナ,ピリカ,グレッグ,カイ,ライネル,ユリアナ"
6,CHAIN_STORY,"聖王女の仇討",1,,,,,"髪飾りと指輪",6,,"主人公,フィーナ,ピリカ,グレッグ,カイ,ライネル,ユリアナ"
7,CHAIN_STORY,"聖王女の仇討",1,,,,,"温かさと信頼",7,,"主人公,フィーナ,ピリカ,グレッグ,カイ,ライネル,ユリアナ"
8,CHAIN_STORY,"聖王女の仇討",1,,,,,"決意、勇気、誓い",8,,"主人公,フィーナ,ピリカ,グレッグ,カイ,ライネル,ユリアナ"
9,CHAIN_STORY,"賞金争奪戦",2,,,,,"マンハンター",1,,"主人公,ピリカ,ヴォルグ,アルドラ,ロレッタ"
10,CHAIN_STORY,"賞金争奪戦",2,,,,,"阻むもの",2,,"主人公,ヴォルグ,アルドラ,ロレッタ,ジグムント,グラニ"
11,CHAIN_STORY,"賞金争奪戦",2,,,,,"魔の山",3,,"主人公,ヴォルグ,アルドラ,ロレッタ,ジグムント,フィリップ"
12,CHAIN_STORY,"賞金争奪戦",2,,,,,"人と森と獣",4,,"主人公,ヴォルグ,アルドラ,ロレッタ,ジグムント,フィリップ"
13,CHAIN_STORY,"賞金争奪戦",2,,,,,"奪われた力",5,,"主人公,ヴォルグ,アルドラ,ロレッタ,ジグムント,フィリップ,グラニ"
14,CHAIN_STORY,"賞金争奪戦",2,,,,,"邂逅、そして",6,,"主人公,ヴォルグ,アルドラ,ロレッタ,ジグムント,フィリップ,グラニ"
15,CHAIN_STORY,"賞金争奪戦",2,,,,,"反逆",7,"滅びの風：フィリップが作った強力な毒。なにもかもを溶かす","主人公,ヴォルグ,アルドラ,ロレッタ,ジグムント,フィリップ,グラニ"
16,CHAIN_STORY,"賞金争奪戦",2,,,,,"滅びの風が吹く",8,,"主人公,ヴォルグ,アルドラ,ロレッタ,ジグムント,フィリップ,グラニ"
17,CHAIN_STORY,"疑わしき者たち",3,,,,,"使者",1,,"主人公,ピリカ,ビルギット,スレイ,セリーヌ"
18,CHAIN_STORY,"疑わしき者たち",3,,,,,"愚者",2,,"主人公,ビルギット,スレイ,バイセツ"
19,CHAIN_STORY,"疑わしき者たち",3,,,,,"容疑者",3,,"主人公,ビルギット,スレイ,バイセツ,セリーヌ,リュビア"
20,CHAIN_STORY,"疑わしき者たち",3,,,,,"暗殺者",4,,"主人公,ビルギット,スレイ,バイセツ,セリーヌ,リュビア"
21,CHAIN_STORY,"疑わしき者たち",3,,,,,"潜入者",5,,"主人公,ビルギット,スレイ,バイセツ,セリーヌ,リュビア,フランツ"
22,CHAIN_STORY,"疑わしき者たち",3,,,,,"侵入者",6,,"主人公,ビルギット,スレイ,バイセツ,セリーヌ,リュビア,フランツ,ギルバート"
23,CHAIN_STORY,"疑わしき者たち",3,,,,,"断罪者",7,,"主人公,ビルギット,スレイ,バイセツ,セリーヌ,リュビア,フランツ,ギルバート"
24,CHAIN_STORY,"疑わしき者たち",3,,,,,"支配者",8,,"主人公,ビルギット,スレイ,バイセツ,セリーヌ,リュビア,フランツ,ラザフォード"
25,CHAIN_STORY,"地脈荒れて",4,,,,,"異変",1,,"主人公,フィーナ,ピリカ,キキ,アイダ,ロロ"
26,CHAIN_STORY,"地脈荒れて",4,,,,,"軋轢",2,,"主人公,ピリカ,キキ,アイダ,ロロ"
27,CHAIN_STORY,"地脈荒れて",4,,,,,"対立",3,,"主人公,アイダ,パポラ,オルガ"
28,CHAIN_STORY,"地脈荒れて",4,,,,,"分裂",4,,"主人公,フィーナ,アイダ,キキ,オルガ,カルデア"
29,CHAIN_STORY,"地脈荒れて",4,,,,,"特定",5,,"主人公,フィーナ,ピリカ,オルガ,イスレム,カルデア,ロロ,キキ,パポラ"
30,CHAIN_STORY,"地脈荒れて",4,,,,,"決断",6,,"主人公,フィーナ,ピリカ,キキ,パポラ,ロロ,オルガ"
31,CHAIN_STORY,"地脈荒れて",4,,,,,"最奥部",7,,"主人公,ロロ,キキ,オルガ,カルデア,イスレム"
32,CHAIN_STORY,"地脈荒れて",4,,,,,"地脈荒れて",8,,"主人公,アイダ,キキ,カルデア,ロロ,オルガ"
33,CHAIN_STORY,"ふたりの英雄",5,,,,,"英雄",1,,"主人公,フィーナ,ピリカ"
34,CHAIN_STORY,"ふたりの英雄",5,,,,,"継承",2,,"主人公,フィーナ,ピリカ"
35,CHAIN_STORY,"ふたりの英雄",5,,,,,"流転",3,,"主人公,フィーナ,ピリカ"
36,CHAIN_STORY,"ふたりの英雄",5,,,,,"郷愁",4,,"主人公,フィーナ,ピリカ"
37,CHAIN_STORY,"ふたりの英雄",5,,,,,"覚悟",5,,"主人公,フィーナ,ピリカ"
38,CHAIN_STORY,"ふたりの英雄",5,,,,,"恩讐",6,,"主人公,フィーナ,ピリカ"
39,CHAIN_STORY,"ふたりの英雄",5,,,,,"仮面",7,,"主人公,フィーナ,ピリカ"
40,CHAIN_STORY,"ふたりの英雄",5,,,,,"正義",8,,"主人公,フィーナ,ピリカ"
41,CHAIN_STORY,"破壊と再生の組曲",6,,,,,"突撃ガムラン",1,,"主人公,フィーナ,ピリカ"
42,CHAIN_STORY,"破壊と再生の組曲",6,,,,,"情熱パルティータ",2,,"主人公,フィーナ,ピリカ"
43,CHAIN_STORY,"破壊と再生の組曲",6,,,,,"清浄コラール",3,,"主人公,フィーナ,ピリカ"
44,CHAIN_STORY,"破壊と再生の組曲",6,,,,,"兄弟ポリフォニー",4,,"主人公,フィーナ,ピリカ"
45,CHAIN_STORY,"破壊と再生の組曲",6,,,,,"禁断カンツォーネ",5,,"主人公,フィーナ,ピリカ"
46,CHAIN_STORY,"破壊と再生の組曲",6,,,,,"暗躍クロスオーバー",6,,"主人公,フィーナ,ピリカ"
47,CHAIN_STORY,"破壊と再生の組曲",6,,,,,"不死鳥レクイエム",7,,"主人公,フィーナ,ピリカ"
48,CHAIN_STORY,"破壊と再生の組曲",6,,,,,"混沌シンフォニア",8,,"主人公,フィーナ,ピリカ"
49,CHAIN_STORY,"海風の方舟",7,,,,,"逃げること",1,,"主人公,フィーナ,ピリカ"
50,CHAIN_STORY,"海風の方舟",7,,,,,"争うこと",2,,"主人公,フィーナ,ピリカ"
51,CHAIN_STORY,"海風の方舟",7,,,,,"進むこと",3,,"主人公,フィーナ,ピリカ"
52,CHAIN_STORY,"海風の方舟",7,,,,,"想うこと",4,,"主人公,フィーナ,ピリカ"
53,CHAIN_STORY,"海風の方舟",7,,,,,"守ること",5,,"主人公,フィーナ,ピリカ"
54,CHAIN_STORY,"海風の方舟",7,,,,,"滅びること",6,,"主人公,フィーナ,ピリカ"
55,CHAIN_STORY,"海風の方舟",7,,,,,"戦うこと",7,,"主人公,フィーナ,ピリカ"
56,CHAIN_STORY,"海風の方舟",7,,,,,"生きること",8,,"主人公,フィーナ,ピリカ"
57,CHAIN_STORY,"妖精戦鬼",8,,,,,"千年戦争",1,,"主人公,フィーナ,ピリカ"
58,CHAIN_STORY,"妖精戦鬼",8,,,,,"農耕少女",2,,"主人公,フィーナ,ピリカ"
59,CHAIN_STORY,"妖精戦鬼",8,,,,,"人質救出",3,,"主人公,フィーナ,ピリカ"
60,CHAIN_STORY,"妖精戦鬼",8,,,,,"防衛結界",4,,"主人公,フィーナ,ピリカ"
61,CHAIN_STORY,"妖精戦鬼",8,,,,,"第三勢力",5,,"主人公,フィーナ,ピリカ"
62,CHAIN_STORY,"妖精戦鬼",8,,,,,"領主参上",6,,"主人公,フィーナ,ピリカ"
63,CHAIN_STORY,"妖精戦鬼",8,,,,,"両雄激突",7,,"主人公,フィーナ,ピリカ"
64,CHAIN_STORY,"妖精戦鬼",8,,,,,"聖戦終結",8,,"主人公,フィーナ,ピリカ"
65,CHAIN_STORY,"戦場の聖職者たち",9,,,,,"水面の鏡像",1,,"主人公,フィーナ,ピリカ"
66,CHAIN_STORY,"戦場の聖職者たち",9,,,,,"星と地の瞬き",2,,"主人公,フィーナ,ピリカ"
67,CHAIN_STORY,"戦場の聖職者たち",9,,,,,"花一輪、金貨一枚",3,,"主人公,フィーナ,ピリカ"
68,CHAIN_STORY,"戦場の聖職者たち",9,,,,,"夕凪の中で",4,,"主人公,フィーナ,ピリカ"
69,CHAIN_STORY,"戦場の聖職者たち",9,,,,,"修羅、桜と散る",5,,"主人公,フィーナ,ピリカ"
70,CHAIN_STORY,"戦場の聖職者たち",9,,,,,"雲の流れゆくまま",6,,"主人公,フィーナ,ピリカ"
71,CHAIN_STORY,"戦場の聖職者たち",9,,,,,"月光に吠える",7,,"主人公,フィーナ,ピリカ"
72,CHAIN_STORY,"戦場の聖職者たち",9,,,,,"太陽はいつもそこに",8,,"主人公,フィーナ,ピリカ"
73,CHAIN_STORY,"鬼の刀鍛冶",10,,,,,"オグマの憂鬱",1,,"主人公,フィーナ,ピリカ"
74,CHAIN_STORY,"鬼の刀鍛冶",10,,,,,"とある妙案",2,,"主人公,フィーナ,ピリカ"
75,CHAIN_STORY,"鬼の刀鍛冶",10,,,,,"火山への道",3,,"主人公,フィーナ,ピリカ"
76,CHAIN_STORY,"鬼の刀鍛冶",10,,,,,"予想外事態！",4,,"主人公,フィーナ,ピリカ"
