id,catCode,bu,lv1,lv1_order,lv2,lv2_order,lv3,lv3_order,name,order,biko,charalist
1,CHARACTER_QUEST,"１～２部","第１～２部",1,"義勇軍",1,"熱き癒し手マリナ",1,"マリナ",1,,"マリナ"
2,CHARACTER_QUEST,"１～２部","第１～２部",1,"義勇軍",1,"熱き癒し手マリナ",1,"熱き癒し手",2,,"主人公,ピリカ,フィーナ,カイン,ミシディア,マリナ"
3,CHARACTER_QUEST,"１～２部","第１～２部",1,"義勇軍",1,"熱き癒し手マリナ",1,"真の癒し手",3,,"主人公,ピリカ,フィーナ,カイン,ミシディア,マリナ"
4,CHARACTER_QUEST,"１～２部","第１～２部",1,"義勇軍",1,"善良なる傭兵カイン",2,"カイン",1,,"カイン"
5,CHARACTER_QUEST,"１～２部","第１～２部",1,"義勇軍",1,"善良なる傭兵カイン",2,"カイン、悩む",2,,"主人公,ピリカ,カイン,ミシディア"
6,CHARACTER_QUEST,"１～２部","第１～２部",1,"義勇軍",1,"善良なる傭兵カイン",2,"共に歩く",3,,"主人公,ピリカ,フィーナ,カイン"
7,CHARACTER_QUEST,"１～２部","第１～２部",1,"義勇軍",1,"頼れる弓兵ミシディア",3,"ミシディア",1,,"ミシディア"
8,CHARACTER_QUEST,"１～２部","第１～２部",1,"義勇軍",1,"頼れる弓兵ミシディア",3,"限界",2,,"主人公,ピリカ,ミシディア"
9,CHARACTER_QUEST,"１～２部","第１～２部",1,"義勇軍",1,"頼れる弓兵ミシディア",3,"いつも一緒",3,,"主人公,ピリカ,フィーナ,カイン,ミシディア,マリナ"
10,CHARACTER_QUEST,"１～２部","第１～２部",1,"義勇軍",1,"熱き司祭マリナ",5,"マリナ",1,,"マリナ"
11,CHARACTER_QUEST,"１～２部","第１～２部",1,"義勇軍",1,"熱き司祭マリナ",5,"戦場に舞う白",2,,"主人公,ピリカ,フィーナ,カイン,ミシディア,マリナ"
12,CHARACTER_QUEST,"１～２部","第１～２部",1,"義勇軍",1,"熱き司祭マリナ",5,"なによりも大切な",3,,"主人公,ピリカ,フィーナ,カイン,ミシディア,マリナ,ラティ"
13,CHARACTER_QUEST,"１～２部","第１～２部",1,"義勇軍",1,"熱き司祭マリナ",5,"あとに続くもの",4,,"主人公,ピリカ,フィーナ,マリナ"
