id,catCode,bu,lv1,lv1_order,lv2,lv2_order,lv3,lv3_order,name,char_battle,order,biko,quest,charalist
1,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"脱獄王ザカリー",1,"最後の大脱獄",,1,,,"主人公,ピリカ,フィーナ,ザカリー,カイン,ミシディア,マリナ"
2,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"殺人作家サンディ",2,"サンディ",,1,,,"サンディ"
3,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"殺人作家サンディ",2,"死ぬほど迷惑な作家",,2,,,"主人公,ピリカ,サンディ"
4,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"助けを待つ兎少女チョコロロ",3,"チョコロロ",,1,,,"チョコロロ"
5,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"助けを待つ兎少女チョコロロ",3,"逃げ回る小兎",,2,,,"主人公,ピリカ,フィーナ,チョコロロ,ミシディア,マリナ"
6,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"大怪盗アンセルム",4,"怪盗現る",,1,,,"主人公,ピリカ,フィーナ,アンセルム,カイン,ミシディア,マリナ,ペイシェ"
7,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"大怪盗アンセルム",4,"怪盗の流儀",,2,,"関連クエスト：キャラクエ＞１～２部＞聖都＞天翼の白百合ローエンディア","主人公,ピリカ,フィーナ,アンセルム,ローエンディア,リフレット,カイン"
8,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"大怪盗アンセルム",4,"盗めないもの",,3,,,"主人公,ピリカ,フィーナ,アンセルム,デューク"
9,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"独裁王子イラリオン",5,"イラリオン",,1,,,"イラリオン"
10,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"独裁王子イラリオン",5,"ザ・カリスマ？",,2,,,"主人公,ピリカ,フィーナ,イラリオン,カイン,ミシディア"
11,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"返り討ち騎士ジェラルド",6,"復讐の監獄",,1,,,"主人公,ピリカ,フィーナ,ジェラルド,カイン,ミシディア,マリナ,ペイシェ"
12,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"返り討ち騎士ジェラルド",6,"疑心の果てに",,2,,,"主人公,ピリカ,フィーナ,ジェラルド,カイン,ミシディア,マリナ"
13,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"暗殺執事ハーディー",7,"ハーディー",,1,,,"ハーディー"
14,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"暗殺執事ハーディー",7,"職業・暗殺執事",,2,,,"主人公,ピリカ,フィーナ,ハーディー,カイン,ミシディア,ペイシェ"
15,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"暗殺執事ハーディー",7,"暗殺執事の憂鬱",,3,,,"主人公,ピリカ,フィーナ,ハーディー,カイン,ミシディア,マリナ,ペイシェ"
16,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"熱血看守レオン",8,"レオン",,1,,,"レオン"
17,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"熱血看守レオン",8,"看守のお仕事",,2,,,"主人公,ピリカ,フィーナ,レオン,ローゼマリー"
18,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"脱力看守ローゼマリー",9,"ローゼマリー",,1,,,"ローゼマリー"
19,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"脱力看守ローゼマリー",9,"働く理由は？",,2,,,"主人公,ピリカ,フィーナ,ローゼマリー,レオン"
20,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"予言婆カミラ",10,"カミラ",,1,,,"カミラ"
21,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"予言婆カミラ",10,"終末を唱えるもの",,2,,,"主人公,ピリカ,カミラ,カイン,マリナ"
22,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"外法僧侶ヴィリヘルム",11,"ヴィリヘルム",,1,,,"ヴィリヘルム"
23,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"外法僧侶ヴィリヘルム",11,"禁忌の逆襲",,2,,,"主人公,ピリカ,フィーナ,ヴィリヘルム,カイン,マリナ"
24,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"無垢なる銃工ゼハティ",12,"ゼハティ",,1,,,"ゼハティ"
25,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"無垢なる銃工ゼハティ",12,"銃の可能性",,2,,,"主人公,ピリカ,フィーナ,ゼハティ,マリナ,ペイシェ"
26,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"無垢なる銃工ゼハティ",12,"銃の雄たけび",,3,,,"主人公,ピリカ,フィーナ,ゼハティ,カイン"
27,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"切り裂き少女ゾーイ",13,"ゾーイ",,1,,,"ゾーイ"
28,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"切り裂き少女ゾーイ",13,"斬るキルキララ",,2,,,"主人公,ピリカ,フィーナ,ゾーイ,カイン,ミシディア,ペイシェ,レオン"
29,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"切り裂き少女ゾーイ",13,"肉斬らせろ",,3,,,"主人公,ピリカ,フィーナ,ゾーイ,ガジジナ,ギザザヤ,ペイシェ"
30,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"暴走鉄拳ヴァリー",14,"ヴァリー",,1,,,"ヴァリー"
31,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"暴走鉄拳ヴァリー",14,"スリラー",,2,,,"主人公,ピリカ,フィーナ,ヴァリー,マリナ,ペイシェ"
32,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"暴走鉄拳ヴァリー",14,"闘う者",,3,,,"主人公,ピリカ,フィーナ,ヴァリー,キララネ,イノデウス,グララオ,ガジジナ,ギザザヤ"
33,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"血染めの花ベッツィー",15,"闇夜に紛れる紅",,1,,,"主人公,ピリカ,フィーナ,ベッツィー,レオン"
34,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"血染めの花ベッツィー",15,"堕落の華",,2,,,"主人公,ピリカ,フィーナ,ベッツィー"
35,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"大罪の悪童キース",16,"キース",,1,,,"キース"
36,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"大罪の悪童キース",16,"悪童",,2,,,"主人公,ピリカ,フィーナ,キース,カイン,ミシディア"
37,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"大罪の悪童キース",16,"おっちゃんが出た",,3,,,"主人公,ピリカ,フィーナ,キース,カイン,ミシディア,マリナ,ペイシェ,ルイーゼ,アインスロット,シルヴァ"
38,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"籠城の狙撃姫エレオノーラ",17,"エレオノーラ",,1,,,"エレオノーラ"
39,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"籠城の狙撃姫エレオノーラ",17,"狙撃姫の心",,2,,,"主人公,ピリカ,フィーナ,エレオノーラ,カイン,ミシディア,マリナ,ペイシェ"
40,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"籠城の狙撃姫エレオノーラ",17,"その胸に秘めて",,3,,,"主人公,ピリカ,フィーナ,エレオノーラ,カイン,ミシディア,マリナ,ペイシェ"
41,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"奇跡の癒し手エリシャ",18,"エリシャ",,1,,,"エリシャ"
42,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"奇跡の癒し手エリシャ",18,"痛み",,2,,,"主人公,ピリカ,エリシャ,カイン,ミシディア,マリナ"
43,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"奇跡の癒し手エリシャ",18,"心の痛み",,3,,,"主人公,ピリカ,エリシャ,カイン,ミシディア,マリナ"
44,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"看守長”鍵の乙女”アメリー",19,"アメリー",,1,,,"アメリー"
45,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"看守長”鍵の乙女”アメリー",19,"看守長の仕事",,2,,,"主人公,ピリカ,フィーナ,アメリー,レオン,ローゼマリー"
46,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"看守長”鍵の乙女”アメリー",19,"過去の罪",,3,,,"主人公,ピリカ,フィーナ,アメリー,レオン,ローゼマリー,ミラルダ（アメリーの幼馴染）"
47,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"激情の爆弾魔ボムボマー",20,"ボムボマー",,1,,,"ボムボマー"
48,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"激情の爆弾魔ボムボマー",20,"怒りの火",,2,,,"主人公,ピリカ,フィーナ,ボムボマー,カイン"
49,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"激情の爆弾魔ボムボマー",20,"焔に掛かって",,3,,,"主人公,ピリカ,フィーナ,ボムボマー,ペイシェ"
50,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"激情の爆弾魔ボムボマー",20,"爆風堂々",,4,,,"主人公,ピリカ,フィーナ,ボムボマー,カイン,ヴェルナー"
51,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"白衣の堕天使リュドミラ",21,"リュドミラ",,1,,,"リュドミラ"
52,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"白衣の堕天使リュドミラ",21,"白衣の天使",,2,,,"主人公,ピリカ,リュドミラ,カイン"
53,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"白衣の堕天使リュドミラ",21,"血濡れの天使",,3,,,"主人公,ピリカ,フィーナ,リュドミラ,カイン,マリナ"
54,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"情念の復讐者ユディト",22,"ユディト",,1,,,"ユディト"
55,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"情念の復讐者ユディト",22,"魔弾",,2,,,"主人公,ピリカ,フィーナ,ユディト,ミシディア"
56,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"情念の復讐者ユディト",22,"零れた水は",,3,"ユディトの使い魔：ポプルス、ウィア",,"主人公,ピリカ,フィーナ,ユディト,ミシディア,ペイシェ"
57,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"二重人格殺人鬼アリシア",23,"彼女たち",,1,"アリシア「夢なら覚めて、ここはイヤ！」_NL_アシリア「現実ならば、崩すまで」",,"主人公,ピリカ,フィーナ,アリシア,アシリア,ペイシェ"
58,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"二重人格殺人鬼アリシア",23,"アタシとわたくし",,2,"アシリアが本来の人格",,"主人公,ピリカ,フィーナ,アリシア,アシリア,ペイシェ,アイザック"
59,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"二重人格殺人鬼アリシア",23,"そして彼女は",,3,,,"主人公,ピリカ,フィーナ,アリシア,アシリア,マリナ,アイザック"
60,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"暗殺者の少女キサ",24,"キサ",,1,,,"キサ"
61,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"暗殺者の少女キサ",24,"十分生きた？",,2,,,"主人公,ピリカ,フィーナ,キサ,カミラ"
62,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"暗殺者の少女キサ",24,"殺しの教え",,3,,,"主人公,ピリカ,フィーナ,キサ"
63,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"愚痴の獄主ザエル",25,"ザエル",,1,,,"ザエル"
64,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"愚痴の獄主ザエル",25,"愚痴の力",,2,,,"主人公,ピリカ,フィーナ,ザエル,ヴァリー,ゾーイ,ドーリィ,キース,ゼハティ,イラリオン"
65,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"愚痴の獄主ザエル",25,"大悪人の過去",,3,"昔、バルタザーリがザエルを賢者にスカウトしに来た_NL_ザエルは監獄の地下にある何か（クライン）を知るため、監獄に居続けている",,"主人公,ピリカ,フィーナ,ザエル,レオン,ローゼマリー"
66,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"無原罪の少女リーア",26,"リーア",,1,,,"リーア"
67,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"無原罪の少女リーア",26,"さんぽするよ？",,2,,,"主人公,ピリカ,フィーナ,リーア,レオン,ローゼマリー"
68,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"無原罪の少女リーア",26,"おかしいね？",,3,,,"主人公,ピリカ,フィーナ,リーア,レオン,ローゼマリー"
69,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"贖罪の双銃闘術ホルスト",27,"贖罪を求める者",,1,,,"主人公,ピリカ,フィーナ,ホルスト,カイン,ミシディア,マリナ,ペイシェ"
70,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"贖罪の双銃闘術ホルスト",27,"その引き鉄に",,2,,,"主人公,ピリカ,フィーナ,ホルスト,カイン,ミシディア,マリナ,ペイシェ"
71,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"強欲な花タチアナ",28,"タチアナ",,1,,,"タチアナ"
72,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"強欲な花タチアナ",28,"油断大敵！",,2,,,"主人公,ピリカ,フィーナ,タチアナ,カイン,ミシディア"
73,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"強欲な花タチアナ",28,"華麗奔放！",,3,,,"主人公,ピリカ,フィーナ,タチアナ,カイン,ペイシェ,デューク"
74,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"哀しき人形ドーリィ",29,"ドーリィ",,1,,,"ドーリィ"
75,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"哀しき人形ドーリィ",29,"ただ痛みだけが",,2,,,"主人公,ピリカ,フィーナ,ドーリィ,カイン,ミシディア"
76,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"哀しき人形ドーリィ",29,"温もりがとかすもの",,3,,,"主人公,ピリカ,フィーナ,ドーリィ,ミシディア,ペイシェ"
77,CHARACTER_QUEST,"１～２部","第１～２部",1,"罪の大陸",11,"哀しき人形ドーリィ",29,"触れて伝えて",,4,,,"主人公,ピリカ,フィーナ,ドーリィ,カイン,ペイシェ"
