id,catCode,bu,lv1,lv1_order,lv2,lv2_order,lv3,lv3_order,name,order,biko,charalist
1,CHARACTER_QUEST,"１～２部","第１～２部",1,"年代記の大陸",14,"黒の乙女エティス",1,"黒衣の面影",1,"エティスはフィーナ母に似ている_NL_エティスは黒の王となったフィーナ父によって生み出された？","主人公,ピリカ,フィーナ,エティス,マリナ,管理者の男（フィーナ父）"
2,CHARACTER_QUEST,"１～２部","第１～２部",1,"年代記の大陸",14,"日輪の担い手ギュネス",2,"ギュネス",1,,"ギュネス"
3,CHARACTER_QUEST,"１～２部","第１～２部",1,"年代記の大陸",14,"日輪の担い手ギュネス",2,"日輪輝く？",2,,"主人公,ピリカ,フィーナ,ギュネス,リヴェラ,ガラクスィアス,カイン,ミシディア,マリナ"
4,CHARACTER_QUEST,"１～２部","第１～２部",1,"年代記の大陸",14,"最北の第四小隊 隊員ソーマ",3,"ソーマ",1,,"ソーマ"
5,CHARACTER_QUEST,"１～２部","第１～２部",1,"年代記の大陸",14,"最北の第四小隊 隊員ソーマ",3,"オレたち第四小隊",2,,"主人公,ピリカ,ソーマ,スーリヤ,シャニ,リヴェラ,カイン,ミョルン"
6,CHARACTER_QUEST,"１～２部","第１～２部",1,"年代記の大陸",14,"最北の第四小隊 隊員ソーマ",3,"我が誇り、第四小隊",3,,"主人公,ピリカ,フィーナ,ソーマ,スーリヤ,シャニ,カイン,ミシディア,ミョルン"
7,CHARACTER_QUEST,"１～２部","第１～２部",1,"年代記の大陸",14,"最北の第四小隊 隊員シャニ",4,"シャニ",1,,"シャニ"
8,CHARACTER_QUEST,"１～２部","第１～２部",1,"年代記の大陸",14,"最北の第四小隊 隊員シャニ",4,"第四小隊の頭脳",2,,"主人公,ピリカ,フィーナ,シャニ,スーリヤ,ソーマ,カイン,ミシディア,マリナ,ペイシェ"
9,CHARACTER_QUEST,"１～２部","第１～２部",1,"年代記の大陸",14,"最北の第四小隊 隊員シャニ",4,"鋼鉄の墓標",3,,"主人公,ピリカ,シャニ,スーリヤ,ソーマ,カイン"
10,CHARACTER_QUEST,"１～２部","第１～２部",1,"年代記の大陸",14,"最愛の友ミョルン",5,"ミョルン",1,,"ミョルン"
11,CHARACTER_QUEST,"１～２部","第１～２部",1,"年代記の大陸",14,"最愛の友ミョルン",5,"年代記の犬",2,,"主人公,ピリカ,フィーナ,ミョルン"
12,CHARACTER_QUEST,"１～２部","第１～２部",1,"年代記の大陸",14,"最愛の友ミョルン",5,"みんなのともだち？",3,,"主人公,ピリカ,フィーナ,ミョルン"
13,CHARACTER_QUEST,"１～２部","第１～２部",1,"年代記の大陸",14,"骸骨剣士スカレット",6,"スカレット",1,,"スカレット"
14,CHARACTER_QUEST,"１～２部","第１～２部",1,"年代記の大陸",14,"骸骨剣士スカレット",6,"正義の骨",2,"スカレットの受肉差分あり","主人公,ピリカ,フィーナ,スカレット,リヴェラ,ガラクスィアス"
15,CHARACTER_QUEST,"１～２部","第１～２部",1,"年代記の大陸",14,"骸骨剣士スカレット",6,"ガイコツの記念日",3,,"主人公,ピリカ,フィーナ,スカレット,ガシャ,カラ,カイン,ミシディア,マリナ"
16,CHARACTER_QUEST,"１～２部","第１～２部",1,"年代記の大陸",14,"骸骨騎士ガシャ",7,"ガシャ",1,,"ガシャ"
17,CHARACTER_QUEST,"１～２部","第１～２部",1,"年代記の大陸",14,"骸骨騎士ガシャ",7,"マスタースケルトン",2,,"主人公,ピリカ,フィーナ,ガシャ,カイン"
18,CHARACTER_QUEST,"１～２部","第１～２部",1,"年代記の大陸",14,"骸骨騎士ガシャ",7,"誕生！その名は……",3,"ガシャ「おい、ちょっと耳貸せ」_NL_カラ「あ、ああ……」_NL_ガシャ「誰が中耳骨渡せって言った！？」","主人公,ピリカ,フィーナ,ガシャ,スカレット,カラ,ミョルン,カイン,ミシディア,マリナ,ペイシェ,リヴェラ"
