id,catCode,bu,lv1,lv1_order,lv2,lv2_order,lv3,lv3_order,name,order,biko,quest,charalist
1,CHARACTER_QUEST,"１～２部","第１～２部",1,"魔神",16,"剣戟の魔神アグダラ",1,"アグダラ",1,,"前提クエスト：イベントクエスト > 2014 > 古の大厄災魔神アグダラ復活","主人公,ピリカ,フィーナ,アグダラ,オルオレータ"
2,CHARACTER_QUEST,"１～２部","第１～２部",1,"魔神",16,"剣戟の魔神アグダラ",1,"世界は変わる",2,,,"主人公,ピリカ,フィーナ,アグダラ"
3,CHARACTER_QUEST,"１～２部","第１～２部",1,"魔神",16,"剣戟の魔神アグダラ",1,"誰よりも人として",3,,,"主人公,ピリカ,フィーナ,アグダラ"
4,CHARACTER_QUEST,"１～２部","第１～２部",1,"魔神",16,"復讐の魔神ザレン",2,"ザレン",1,,"関連クエスト：_NL_・フリークエスト＞聖王国＞強者たちの洞窟・序_NL_・フリークエスト＞聖王国＞守護者たち・序_NL_・フリークエスト＞賢者の塔＞土と火の迷宮・序_NL_・フリークエスト＞王都＞死闘再び・序","ザレン"
5,CHARACTER_QUEST,"１～２部","第１～２部",1,"魔神",16,"復讐の魔神ザレン",2,"守ルベキ仲間",2,,,"主人公,ピリカ,フィーナ,ザレン,カイン"
6,CHARACTER_QUEST,"１～２部","第１～２部",1,"魔神",16,"復讐の魔神ザレン",2,"裸ノ付キ合イ",3,"ザレン温泉が湧く",,"主人公,ピリカ,フィーナ,ザレン,カイン,ミシディア"
7,CHARACTER_QUEST,"１～２部","第１～２部",1,"魔神",16,"冒涜の魔神カタリス",3,"カタリス",1,"チェンクロ最初の魔神。襲来イベントは存在しない",,"カタリス"
8,CHARACTER_QUEST,"１～２部","第１～２部",1,"魔神",16,"冒涜の魔神カタリス",3,"聖母龍、その愛",2,,,"主人公,ピリカ,フィーナ,カタリス,黒龍,聖母龍（マザー・ドラゴン）"
9,CHARACTER_QUEST,"１～２部","第１～２部",1,"魔神",16,"牢獄の魔神コロパティロン",4,"コロパティロン",1,"コロパティロン「次は闇の王だ」_NL_黒の王じゃなくて闇の王……？つまり黒の軍勢じゃなく闇の軍勢……？_NL_ぷちぇインクロニクル……？うっ、頭が！",,"コロパティロン"
10,CHARACTER_QUEST,"１～２部","第１～２部",1,"魔神",16,"牢獄の魔神コロパティロン",4,"砂の牢獄",2,,,"主人公,ピリカ,フィーナ,コロパティロン"
11,CHARACTER_QUEST,"１～２部","第１～２部",1,"魔神",16,"死霊の魔神ラスフィア",5,"ラスフィア",1,,"前提クエスト：イベントクエスト > 2014 > 死霊の魔神ラスフィア襲来！！","ラスフィア"
12,CHARACTER_QUEST,"１～２部","第１～２部",1,"魔神",16,"死霊の魔神ラスフィア",5,"執着点",2,"ラスフィアとディルマはユグドの外の魔法学園の同級生",,"主人公,ピリカ,フィーナ,ラスフィア,ディルマ,カイン"
13,CHARACTER_QUEST,"１～２部","第１～２部",1,"魔神",16,"執着の魔神アルミルス",6,"アルミルス",1,,"前提クエスト：イベントクエスト > 2014 > 執着の魔神アルミルス襲来！！","アルミルス"
14,CHARACTER_QUEST,"１～２部","第１～２部",1,"魔神",16,"執着の魔神アルミルス",6,"羨望",2,,,"主人公,ピリカ,フィーナ,アルミルス,ロロ,ミシディア"
15,CHARACTER_QUEST,"１～２部","第１～２部",1,"魔神",16,"真理の魔神ハティファス",7,"ハティファス",1,,"前提クエスト：イベントクエスト > 2014 > 真理の魔神ハティファス襲来！！_NL_関連クエスト：イベントクエスト > 2014 > 魔神襲来後日談「大賢者の宝探しなのだ！」","主人公,ピリカ,ハティファス,ハティ"
16,CHARACTER_QUEST,"１～２部","第１～２部",1,"魔神",16,"真理の魔神ハティファス",7,"真理の魔神",2,,,"主人公,ピリカ,フィーナ,ハティファス,ハティ,カイン"
