id,catCode,lv1,lv1_order,lv2,lv2_order,lv3,lv3_order,name,order,biko,charalist
1,COLLAB_QUEST,"まおゆう魔王勇者コラボ記念 軍事教練クエスト",1,,,,,"魁！メイド道",1,,
2,COLLAB_QUEST,"まおゆう魔王勇者コラボ記念 軍事教練クエスト",1,,,,,"暁！！メイド道",2,,
3,COLLAB_QUEST,"まおゆう魔王勇者コラボ記念 軍事教練クエスト",1,,,,,"極！！！メイド道",3,,
4,COLLAB_QUEST,"まおゆう魔王勇者コラボ記念 軍事教練クエスト",1,,,,,"軍事教練・初級",4,,
5,COLLAB_QUEST,"まおゆう魔王勇者コラボ記念 軍事教練クエスト",1,,,,,"軍事教練・超上級",5,,
6,COLLAB_QUEST,"トレフルコラボ記念クエスト ～キズナの物語～",2,,,,,"トレフルと共に",1,,
7,COLLAB_QUEST,"ログ・ホライズン　参戦！",3,,,,,"冒険者の絆",1,,
8,COLLAB_QUEST,"ログ・ホライズン　参戦！",3,,,,,"絆と記録の地平線",2,,
9,COLLAB_QUEST,"まおゆう魔王勇者コラボ記念 軍事教練クエスト２",4,,,,,"第６話ただ一筋の光",1,,
10,COLLAB_QUEST,"まおゆう魔王勇者コラボ記念 軍事教練クエスト２",4,,,,,"第５話燃える砦",2,,
11,COLLAB_QUEST,"まおゆう魔王勇者コラボ記念 軍事教練クエスト２",4,,,,,"第４話渓谷の撤退戦",3,,
12,COLLAB_QUEST,"まおゆう魔王勇者コラボ記念 軍事教練クエスト２",4,,,,,"第３話戦線突破せよ",4,,
13,COLLAB_QUEST,"まおゆう魔王勇者コラボ記念 軍事教練クエスト２",4,,,,,"第２話商人の損得",5,,
14,COLLAB_QUEST,"まおゆう魔王勇者コラボ記念 軍事教練クエスト２",4,,,,,"第１話兄弟弟子",6,,
15,COLLAB_QUEST,"まおゆう魔王勇者コラボ記念 軍事教練クエスト２",4,,,,,"義勇軍の長所",7,,
16,COLLAB_QUEST,"チェインクロニクル×刃牙道",5,,,,,"開幕ッッ！！",1,,
17,COLLAB_QUEST,"チェインクロニクル×刃牙道",5,,,,,"欠伸",2,,
18,COLLAB_QUEST,"チェインクロニクル×刃牙道",5,,,,,"退屈",3,,
19,COLLAB_QUEST,"チェンクロ×アトリエ「黄昏シリーズ」コラボ",6,,,,,"黄昏の邂逅",1,,
20,COLLAB_QUEST,"チェンクロ×「絶対絶望少女」コラボ",7,,,,,"絶望との邂逅",1,,
21,COLLAB_QUEST,"チェンクロ×「絶対絶望少女」コラボ",7,,,,,"伝染する希望",2,,
22,COLLAB_QUEST,"チェンクロ×英雄伝説「閃の軌跡Ⅱ」コラボ",8,,,,,"精霊の道を越えて",1,,
23,COLLAB_QUEST,"チェンクロ×英雄伝説「閃の軌跡Ⅱ」コラボ",8,,,,,"模擬戦",2,,
24,COLLAB_QUEST,"チェンクロ×英雄伝説「閃の軌跡Ⅱ」コラボ",8,,,,,"本気の３本勝負！",3,,
25,COLLAB_QUEST,"チェンクロ×英雄伝説「閃の軌跡Ⅱ」コラボ",8,,,,,"リィン、マナを探せ",4,,
26,COLLAB_QUEST,"チェンクロ×英雄伝説「閃の軌跡Ⅱ」コラボ",8,,,,,"アリサのスラム支援",5,,
27,COLLAB_QUEST,"チェンクロ×英雄伝説「閃の軌跡Ⅱ」コラボ",8,,,,,"エリオットの教室",6,,
28,COLLAB_QUEST,"チェンクロ×英雄伝説「閃の軌跡Ⅱ」コラボ",8,,,,,"ラウラの偽騎士討伐",7,,
29,COLLAB_QUEST,"チェンクロ×英雄伝説「閃の軌跡Ⅱ」コラボ",8,,,,,"フィーと襲われた街",8,,
30,COLLAB_QUEST,チェンクロ×英雄伝説「閃の軌跡Ⅱ」コラボ,,,,,,トワの魔物討伐依頼,9,,
31,COLLAB_QUEST,チェンクロ×英雄伝説「閃の軌跡Ⅱ」コラボ,,,,,,クレアの強盗捜査,10,,
32,COLLAB_QUEST,チェンクロ×チェンクロラジオ『遠い日の約束』,,,,,,生き別れの兄弟たち,1,,"主人公,ピリカ,フィーナ,ハンフ,ファルベ,リヒト,シルヴァ"
33,COLLAB_QUEST,チェンクロ×チェンクロラジオ『遠い日の約束』,,,,,,復讐の結末,6,,"主人公,ピリカ,フィーナ,ハンフ,ファルベ,リヒト,ウェイン"
34,COLLAB_QUEST,チェンクロ×チェンクロラジオ『遠い日の約束』,,,,,,懐かしい約束,5,,"主人公,ピリカ,フィーナ,ハンフ,ファルベ,リヒト"
35,COLLAB_QUEST,チェンクロ×チェンクロラジオ『遠い日の約束』,,,,,,闇の中,2,,"主人公,ピリカ,フィーナ,リヒト"
36,COLLAB_QUEST,チェンクロ×チェンクロラジオ『遠い日の約束』,,,,,,導く光,3,,"主人公,ピリカ,フィーナ,ファルベ"
37,COLLAB_QUEST,チェンクロ×チェンクロラジオ『遠い日の約束』,,,,,,未来への道,4,,"主人公,ピリカ,フィーナ,ハンフ,シルヴァ"
38,COLLAB_QUEST,チェンクロ×「七つの大罪」コラボ,,,,,,現れた大罪,1,名前のみ：マーリン,"主人公,ピリカ,フィーナ,メリオダス（コラボ）,エリザベス（コラボ）,ディアンヌ（コラボ）,キング（コラボ）,バン（コラボ）,ギルサンダー（コラボ）,ホーク（コラボ）,ファティマ,ミシディア"
39,COLLAB_QUEST,チェンクロ×「七つの大罪」コラボ,,,,,,看板娘たちの戦い,2,,"主人公,ピリカ,メリオダス（コラボ）,エリザベス（コラボ）,ディアンヌ（コラボ）,キング（コラボ）,ホーク（コラボ）,モアネット,ファティマ"
40,COLLAB_QUEST,チェンクロ×「七つの大罪」コラボ,,,,,,食材を求めて,3,,"主人公,ピリカ,メリオダス（コラボ）,エリザベス（コラボ）,ディアンヌ（コラボ）,キング（コラボ）,バン（コラボ）,ホーク（コラボ）"
41,COLLAB_QUEST,チェンクロ×「七つの大罪」コラボ,,,,,,美味い酒を求めて,4,,"主人公,ピリカ,フィーナ,メリオダス（コラボ）,エリザベス（コラボ）,ディアンヌ（コラボ）,バン（コラボ）,ギルサンダー（コラボ）,ホーク（コラボ）,モアネット"
42,COLLAB_QUEST,チェンクロ×「七つの大罪」コラボ,,,,,,店舗を手に入れろ,5,,"主人公,ピリカ,フィーナ,メリオダス（コラボ）,エリザベス（コラボ）,ディアンヌ（コラボ）,キング（コラボ）,バン（コラボ）,ギルサンダー（コラボ）,ホーク（コラボ）,ギルバート,シルヴァ"
43,COLLAB_QUEST,チェンクロ×「七つの大罪」コラボ,,,,,,喧嘩祭り,6,,"主人公,ピリカ,フィーナ,メリオダス（コラボ）,エリザベス（コラボ）,ディアンヌ（コラボ）,キング（コラボ）,バン（コラボ）,ホーク（コラボ）,シルヴァ"
44,COLLAB_QUEST,チェンクロ×「太鼓の達人」コラボ,,,,,,太鼓の達人,1,,"主人公,ピリカ,フィーナ,ツヅミ,どんちゃん,フィーナどん,ツガル"
45,COLLAB_QUEST,チェンクロ×「太鼓の達人」コラボ,,,,,,ビートの達人,2,,"主人公,ピリカ,ツヅミ,どんちゃん,デンガル"
46,COLLAB_QUEST,チェンクロ×「シャイニング・レゾナンス」コラボ,,,,,,竜の魂を求めて,1,,"主人公,ピリカ,フィーナ,ユーマ（コラボ）,ソニア（コラボ）,キリカ（コラボ）,エクセラ（コラボ）,ベアトリス（コラボ）,アグナム（コラボ）,レスティ（コラボ）,リンナ（コラボ）,マリオン（コラボ）,ゼスト（コラボ）,ゲオルグ（コラボ）,ヨアヒム（コラボ）"
47,COLLAB_QUEST,チェンクロ×「シャイニング・レゾナンス」コラボ,,,,,,ボクの居場所,2,,"主人公,ピリカ,ユーマ（コラボ）,ソニア（コラボ）,エクセラ（コラボ）,マリオン（コラボ）"
48,COLLAB_QUEST,チェンクロ×「シャイニング・レゾナンス」コラボ,,,,,,爆音の料理人,3,,"主人公,ピリカ,フィーナ,ユーマ（コラボ）,ソニア（コラボ）,キリカ（コラボ）,エクセラ（コラボ）,アグナム（コラボ）,レスティ（コラボ）,リンナ（コラボ）,ゼスト（コラボ）,ゲオルグ（コラボ）,ヨアヒム（コラボ）,ミシディア,カイン"
49,COLLAB_QUEST,チェンクロ×「シャイニング・レゾナンス」コラボ,,,,,,暴走する巨大竜,4,,"主人公,ピリカ,フィーナ,ユーマ（コラボ）,ソニア（コラボ）,キリカ（コラボ）,エクセラ（コラボ）,ベアトリス（コラボ）,リンナ（コラボ）,ゼスト（コラボ）,ゲオルグ（コラボ）,ヨアヒム（コラボ）"
50,COLLAB_QUEST,チェンクロ×アトリエ「アーランドシリーズ」コラボ,,,,,,ぷにぷに襲来！前編,1,,"主人公,ピリカ,フィーナ,トトリ（コラボ）,メルル（コラボ）,ステルク（コラボ）,ケイナ（コラボ）,ぷにぷに（コラボ）,ナナイ,メルティオール"
51,COLLAB_QUEST,チェンクロ×アトリエ「アーランドシリーズ」コラボ,,,,,,ぷにぷに襲来！後編,2,,"主人公,ピリカ,フィーナ,ロロナ（コラボ）,トトリ（コラボ）,メルル（コラボ）,ステルク（コラボ）,ケイナ（コラボ）,ミミ（コラボ）,ぷにぷに（コラボ）,クーデリア（コラボ）,ナナイ,メルティオール"
52,COLLAB_QUEST,チェンクロ×「聖剣伝説シリーズ」コラボ,,,,,,マナの導き・前編,1,,"主人公,ピリカ,フィーナ,ケヴィン（コラボ）,ホークアイ（コラボ）,シャルロット（コラボ）,シルヴァ"
