id,catCode,bu,lv1,lv1_order,lv2,lv2_order,lv3,lv3_order,name,order,biko,charalist
1,DENSHO_HEN,"３部","伝承篇『ヨシツグ伝』",1,,,,,"第1話　我が名は氷狼貴公子",1,,
2,DENSHO_HEN,"３部","伝承篇『ヨシツグ伝』",1,,,,,"第2話　戦乱の足音",2,,
3,DENSHO_HEN,"３部","伝承篇『ヨシツグ伝』",1,,,,,"第3話　次代の覇王",3,,
4,DENSHO_HEN,"３部","伝承篇『ヨシツグ伝』",1,,,,,"第4話　妖精の戦い",4,,
5,DENSHO_HEN,"３部","伝承篇『ヨシツグ伝』",1,,,,,"第5話　血風舞い散る",5,,
6,DENSHO_HEN,"３部","伝承篇『魔法兵団学生伝Ⅰ』",2,,,,,"第1話　旧校舎の野良犬",1,,"ヴェルナー,クラウス,カティア,不良ボス（サバマニア（サバマーニ））,イザヤ,シャーリー,アルドラ,ヴェルナーの母"
7,DENSHO_HEN,"３部","伝承篇『魔法兵団学生伝Ⅰ』",2,,,,,"第2話　真夜中の案山子",2,,"ヴェルナー,クラウス,カティア,バルタザーリ,メルティオール,ディルマ,エステバン,アルドラ,アドヴェルサス,ヴェルナーの母,レイリー,カレン,ルカナ"
8,DENSHO_HEN,"３部","伝承篇『魔法兵団学生伝Ⅰ』",2,,,,,"第3話　優等生だァッ！",3,"ヴェルナー「いや～ん、カティアさんのエッチ～♪」","ヴェルナー,クラウス,カティア,ディルマ,アルドラ,メラヒム,ヨナ,メルティオール"
9,DENSHO_HEN,"３部","伝承篇『魔法兵団学生伝Ⅰ』",2,,,,,"第4話　闘う者たち",4,"名前のみ：ヘリシティー、トリスメギストス","ヴェルナー,クラウス,カティア,ディルマ,ルカナ,カレン,ウーヴィア,ユルゲン,エレミア,カルデア,メルティオール,アドヴェルサス"
10,DENSHO_HEN,"３部","伝承篇『魔法兵団学生伝Ⅱ』",3,,,,,"第1話　コントラスト",1,"関連クエスト：イベントクエスト（2016）＞賢者の実験結果","ヴェルナー,クラウス,カティア,シャーリー,リーゼロッテ,イザベル,ユルゲン,メルティオール,アドヴェルサス,バスチアン（人間時代）,クリスティン,レベッカ"
11,DENSHO_HEN,"３部","伝承篇『魔法兵団学生伝Ⅱ』",3,,,,,"第2話　少しずつ",2,"マハト：カティアの父が統べる魔法使いの傭兵組織_NL_マジカル★コンパクトが伝説の元祖★魔法少女の墓の隠し部屋から見つかる","ヴェルナー,クラウス,カティア,バルタザーリ,メルティオール,ディルマ,アドヴェルサス,クリスティン,ディ・ロ,パルマー,フロワ,チャーノ,エレミア,ユルゲン,ゼロ（ユニ）"
