id,catCode,bu,lv1,lv1_order,lv2,lv2_order,lv3,lv3_order,name,order,biko,quest,charalist
1,EVENT_KYOTEKI,"４部","2023",2023,"欺きの魔神カホル襲来",1,,,"夢から醒めぬ夢１",1,,"関連クエスト：キャラクエ＞４部＞賢者の塔＞クロニクルの覚醒【師団長】カティア","主人公,ピリカ,フィーナ,エリカ,マノン,カホル,カティア,リーゼロッテ,パルナ,プルナ,チャーノ,アリーチェ,エステラ"
2,EVENT_KYOTEKI,"４部","2023",2023,"欺きの魔神カホル襲来",1,,,"夢から醒めぬ夢２",2,,,"主人公,ピリカ,フィーナ,エリカ,マノン,カホル,カティア,リーゼロッテ,パルナ,プルナ,チャーノ,アリーチェ,エステラ,コウガ"
3,EVENT_KYOTEKI,"４部","2023",2023,"欺きの魔神カホル襲来",1,,,"夢から醒めぬ夢３",3,,,"主人公,ピリカ,フィーナ,エリカ,マノン,カホル,カティア,アリーチェ,コウガ"
4,EVENT_KYOTEKI,"４部","2023",2023,"欺きの魔神カホル襲来",1,,,"夢から醒めぬ夢４",4,,,"主人公,ピリカ,フィーナ,エリカ,マノン,カホル,カティア,リーゼロッテ,パルナ,プルナ,チャーノ,アリーチェ,エステラ"
5,EVENT_KYOTEKI,"４部","2024",2024,"不和なる愛の日トルウァトス襲来",1,,,"ワタシを捕まえて１",1,"パトリシア「ラブ・ラブ・きゅん！」",,"主人公,ピリカ,フィーナ,パトリシア,アイリーン,リブラビス,メラヒム,アリーチェ,リーゼロッテ"
6,EVENT_KYOTEKI,"４部","2024",2024,"不和なる愛の日トルウァトス襲来",1,,,"ワタシを捕まえて２",2,,,"主人公,ピリカ,フィーナ,トルウァトス,パトリシア,アイリーン,リブラビス,メラヒム,アリーチェ,リーゼロッテ,ベルタ,オレイユ,フィリアナ"
7,EVENT_KYOTEKI,"４部","2024",2024,"制約の魔神タブリス襲来",2,,,"制約のマリオネット",1,"ピーちゃん：正式名称『鳥瞰の魔檻』。水晶玉にビスケの目玉が入っており、自在に視界を得られる_NL_制約の吊手：相手を操り人形のように自在に操ることのできる魔具。ビスケの実家であるエルガレオ家が所持していた。","関連クエスト：チェインストーリー＞楽園崩壊_NL_関連クエスト：コラボクエスト＞「サクラ大戦」×チェインクロニクル_NL_関連クエスト：コラボクエスト＞「ペルソナ５」×チェインクロニクル_NL_関連クエスト：コラボクエスト＞『新サクラ大戦 the Animation』×チェインクロニクル","主人公,ピリカ,タブリス,ジルファ,レアム,ミュトス,セラ,クロエ,ビスケ,リオン,モモ,ニンファ,シーシャン,ファティマ,シャロン,オルドレード,ベレ,ユギギ"
8,EVENT_KYOTEKI,"４部","2024",2024,"迫害の魔神ミスラン襲来",3,,,"海底にある火山",1,,"関連クエスト：大狩猟戦イベント＞2023＞夏と神器に魅せられて","主人公,ピリカ,フィーナ,リヴェラ,アオイ,ミスラン,オデッセイア,ミシディア"
9,EVENT_KYOTEKI,"４部","2024",2024,"狂乱式神襲来",4,,,"約束の酒池肉林",1,"熱狂的義勇軍ファン「美形なら、任せて！　ユージェニー様、ルアンナ様、ナイエル様、オルオレータ様、シンフォニア様、ムジカ様、アルドラ様、アレス様、オリヴィア様、カルネロ様、カミナヅキ様、キララネ様、クララ様、ズヴィアド様、スクロロン様、スルスタン様、セリーヌ様、パボア様、ヨシツグ様、レガレ様……」","前提クエスト：イベントクエスト＞2024＞常夜の国の今際_NL_前提クエスト：第4部メインストーリー＞骸の世界","主人公,ピリカ,フィーナ,ハイラ,シェルシェ,フェーベ,ポッピー,アロル,ハヤーラ,フィローラ,リヒト,アントン,トーマス,熱狂的義勇軍ファン,マリク,ジーナ,ルーラ,イルヘルミナ,ベラ,シュザ,オウシン,スオウ,ハルアキ,トウカ,ギザザヤ,キララネ,ザエル,ラザフォード,アロイス,カホル,ハハブ,チウウェン,イザーク,アキカゼ,エシャル,シャディア,ムハバード,ムジカ,アマツ,ヒトリ,ベニガサ,アイザック,ハクヒ,エチゴ,ミシディア,アシュリナ,ファラ,アリーチェ,トロメア"
10,EVENT_KYOTEKI,"４部","2024",2024,"狂乱式神襲来",4,,,"この気持ち君に届け",2,,,"主人公,ピリカ,フィーナ,ハイラ,シェルシェ,アロル,ハヤーラ,フィローラ,ローエンディア,ウェイン,カティア,アマツ,ヒトリ,ベニガサ,ミシディア,ペイシェ,ユージェニー,ナイエル,リヒト,エチゴ,ハハブ,ハクヒ,キュリオ"
11,EVENT_KYOTEKI,"４部","2024",2024,"狂乱式神襲来",4,,,"美しい者たち",3,,,"主人公,ピリカ,フィーナ,ハイラ,シェルシェ,アロル,ハヤーラ,フィローラ,ローエンディア,ウェイン,アマツ,ヒトリ,ベニガサ,アキカゼ,キュリオ,ナイエル,アリーチェ,アシュリナ,ファラ,トロメア,リヒト,ユージェニー,ミシディア,アイザック,エシャル,シャディア,ムハバード,ムジカ,イルヘルミナ,ルーラ,ベラ,エリーナ,リンセ,ハハブ,チウウェン"
12,EVENT_KYOTEKI,"５部","2025",2025,"呪われし銃使いフルカネリ襲来",1,,,"呪われし海賊の退屈",1,,"関連クエスト：大狩猟戦イベント＞2019＞仰天怪奇！魔海大狩猟戦_NL_関連クエスト：キャラクエ＞５部＞大海＞クロニクルの覚醒【夜明けの海船長】バルトロ","主人公,ピリカ,フィーナ,オズワルド,フルカネリ,リィビーズ,カイン,ミシディア,バルトロ,モルガン"
13,EVENT_KYOTEKI,"５部","2025",2025,"白き愛のチョコ襲来",2,,,"白き愛は暴走中！１",1,,,"主人公,ピリカ,フィーナ,アレス,ハーマン,ユリアナ,アインスロット,ルイーゼ,トーマス,アントン,バクストン,ベアトリクス,サプラス"
14,EVENT_KYOTEKI,"５部","2025",2025,"白き愛のチョコ襲来",2,,,"白き愛は暴走中！２",2,,,"主人公,ピリカ,アレス,ハーマン,サプラス"
15,EVENT_KYOTEKI,"５部","2025",2025,"神器の暴走フェンリル襲来",3,,,"黄昏に狼が哭く・１",1,,"関連クエスト：イベントクエスト＞2025＞刻に抗う者たち","主人公,ピリカ,フィーナ,カトリ,リル,ウェスタ,カルロ,ペレキュデス,ガラクスィアス"
16,EVENT_KYOTEKI,"５部","2025",2025,"神器の暴走フェンリル襲来",3,,,"黄昏に狼が哭く・２",2,,,"主人公,ピリカ,フィーナ,カトリ,リル,ウェスタ,カルロ,ペレキュデス,ガラクスィアス,ヴァネッサ"
17,EVENT_KYOTEKI,"５部","2025",2025,"暴走赤リンゴの魔物襲来",4,,,"友達食べちゃった",1,,"関連クエスト：イベントクエスト＞2025＞隊長と女王","主人公,ピリカ,フィーナ,ピノデマール,カティア,ヴェルナー,ツル,アシュリナ,リーニャ"
18,EVENT_KYOTEKI,"５部","2025",2025,"暴走赤リンゴの魔物襲来",4,,,"食うか食われるか",2,,,"主人公,ピリカ,フィーナ,ピノデマール,カティア,ヴェルナー,ツル,アシュリナ,リーニャ,ルイーゼ,エレミア,トウカ,ユニ,ソーニャ"
19,EVENT_KYOTEKI,"５部","2025",2025,"衰弱の魔神ゼイルナ襲来",5,,,"オレと俺と仔羊の歌",1,,"前提クエスト：第5部メインストーリー＞聖歌の未来＞中編＞歌う旅路","主人公,ピリカ,ミレニア,アマデウス,ゼイルナ,ミゼリア,ラグバ,ウルワ,ティファレト,マリナ,ユリアナ,フィリアナ,リーア,ヴェロニカ"
20,EVENT_KYOTEKI,"５部","2025",2025,"暴走機械人形デュナミス襲来",6,,,"遊戯の森の機械人形1",1,,,"主人公,ピリカ,スティーナ,デュナミス,アプロウズ,エストリア,ヴァッフェ,リーア,バリエナ,ヴェイジ"
21,EVENT_KYOTEKI,"５部","2025",2025,"暴走機械人形デュナミス襲来",6,,,"遊戯の森の機械人形2",2,,,"主人公,ピリカ,スティーナ,デュナミス,アプロウズ,エストリア,リーア,バリエナ,レメディ"
22,EVENT_KYOTEKI,"５部","2026",2026,"巨躯の群霊襲来",1,,,"氷炎の隔夜隊士・1",1,,,"主人公,ピリカ,ユウカミ,マツユキ,ヨサリ,ハクヒ,マチ,ワクラ,アリーチェ"
