id,catCode,lv1,lv1_order,lv2,lv2_order,lv3,lv3_order,name,order,biko,charalist
1,FREE_QUEST,"断章",1,,,,,"フィーナの日記",1,,"主人公,フィーナ,ピリカ,カイン,マリナ"
2,FREE_QUEST,"断章",1,,,,,"フィーナは人気者？",2,,"主人公,フィーナ,ピリカ,カイン,ミシディア,エイレヌス"
3,FREE_QUEST,"断章",1,,,,,"年代記",3,"ユグド以外の大陸の歴史_NL_セイ歴208年8月。ガ領候がグ領に侵攻_NL_皇歴3290年。竜長グルンがアエン・ルン国を併呑","主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ファティマ"
4,FREE_QUEST,"断章",1,,,,,"知りたくない",4,,"主人公,フィーナ,ピリカ"
5,FREE_QUEST,"断章",1,,,,,"フィーナの予想",5,,"主人公,フィーナ,ピリカ,ラファーガ"
6,FREE_QUEST,"断章",1,,,,,"クロニクルを追う者",6,"かつて九領にクロニクルの管理者がいた","主人公,フィーナ,ピリカ,シュザ,チヨメ"
7,FREE_QUEST,"断章",1,,,,,"フィーナの年代記",7,,"主人公,ピリカ,ツル"
8,FREE_QUEST,"断章",1,,,,,"急げ！",8,,"主人公,フィーナ,ピリカ"
9,FREE_QUEST,"断章",1,,,,,"フィーナの誓い",9,,"主人公,フィーナ,ピリカ"
10,FREE_QUEST,"風雲！チェンクロ学園！",2,,,,,"ｉｆ１　俺は転校生",1,,"主人公,フィーナ学級委員長,ピリ子（ピリカ）,ヨシツグ生徒会長,キララネ校長,ギザザヤ担任,メルティオール先生（魔法学）,ヴェルナー不良,ファティマ先輩"
11,FREE_QUEST,"風雲！チェンクロ学園！",2,,,,,"ｉｆ課外　週番活動",2,,"主人公,ピリ子（ピリカ）,シャウナ指導教師,ミラ風紀委員長,アルフィン生徒,ヴェルナー不良"
12,FREE_QUEST,"風雲！チェンクロ学園！",2,,,,,"ｉｆ２　クラブ見学",3,,"主人公,フィーナ学級委員長,ピリ子（ピリカ）,メルティオール先生（魔法学）,ヴェルナー不良,ファティマ先輩,ギザザヤ担任,ヨシツグ生徒会長,ハルアキ副生徒会長,トウカ書記"
13,FREE_QUEST,"風雲！チェンクロ学園！",2,,,,,"ｉｆ課外　図書室で",4,,"主人公,フィーナ学級委員長,ピリ子（ピリカ）,ムジカ図書委員長,ライア図書委員"
14,FREE_QUEST,"風雲！チェンクロ学園！",2,,,,,"ｉｆ３　新校舎計画",5,,"主人公,フィーナ学級委員長,ピリ子（ピリカ）,ヨシツグ生徒会長,キララネ校長,トウカ書記,ヴェルナー不良,ハルアキ副生徒会長,スルスタン不良"
15,FREE_QUEST,"風雲！チェンクロ学園！",2,,,,,"ｉｆ課外　教員とは",6,,"主人公,ピリ子（ピリカ）,キララネ校長,ギザザヤ担任,シャウナ指導教師,コモディア料理部,メルティオール先生（魔法学）"
16,FREE_QUEST,"風雲！チェンクロ学園！",2,,,,,"ｉｆ４　奪われた旗",7,,"主人公,ピリ子（ピリカ）,ヴェルナー不良,スルスタン不良,ヨシツグ生徒会長,ハルアキ副生徒会長,トウカ書記,キララネ校長,ラファーガ大工"
