id,catCode,lv1,lv1_order,lv2,lv2_order,lv3,lv3_order,name,order,biko,charalist
1,GAIDEN,"聖王継承",1,,,,,"狙われた騎士",1,,"主人公,フィーナ,ピリカ,マリス,アントン,トーマス"
2,GAIDEN,"聖王継承",1,,,,,"騎士団員の過去",2,"リフレット、ローエンディアは元『清廉の泉』騎士団_NL_リフレットとバクストンは同じ孤児院出身","主人公,フィーナ,ピリカ,ローエンディア,リフレット,バクストン,エリーナ,ダナディ,トーマス,アントン,マリス,ルイーゼ"
3,GAIDEN,"聖王継承",1,,,,,"聖王女救助",3,,"主人公,フィーナ,ピリカ,ウェイン,マリス,ユリアナ,ルイーゼ,カイン,アインスロット,ペリノア"
4,GAIDEN,"聖王継承",1,,,,,"奪還作戦始動",4,,"主人公,フィーナ,ピリカ,ギルバート,ユリアナ,ルイーゼ,カイン,ミシディア,パーシェル,アリエッタ,ロイ,ウェイン"
5,GAIDEN,"聖王継承",1,,,,,"闇の中の村",5,"聖王は血筋ではなく、神殿に許可された者がなる_NL_アントンの祖父の名前：アントニオ","主人公,フィーナ,ピリカ,ユリアナ,ルイーゼ,マリス,アントン,トーマス,セルバンテス,ローエンディア"
6,GAIDEN,"聖王継承",1,,,,,"明かされる真実",6,"ワラキア紛争：九領と聖王国の最後の戦い","主人公,フィーナ,ピリカ,マリス,アントン,トーマス,セルバンテス,ローエンディア,バクストン,リフレット,ルアンナ"
7,GAIDEN,"聖王継承",1,,,,,"異端審問官",7,"名前のみ：ロヴァル、ペリノア","主人公,フィーナ,ピリカ,ヨハン,ユリアナ,パーシェル,セルバンテス,アントン,ルイーゼ,ウェイン"
8,GAIDEN,"聖王継承",1,,,,,"聖王女の決意",8,,"主人公,フィーナ,ピリカ,ユリアナ,ウェイン,アインスロット,ロヴァル,トーマス,エリーナ,ルイーゼ"
9,GAIDEN,"聖王継承",1,,,,,"大神殿へ",9,,"主人公,フィーナ,ピリカ,ユリアナ,ウェイン,ルイーゼ,ギルバート,パーシェル,ダナディ,トーマス,マリス,聖人（バルタザーリ）"
10,GAIDEN,"聖王継承",1,,,,,"聖王承認",10,,"主人公,フィーナ,ピリカ,ユリアナ,ルイーゼ,聖人（バルタザーリ）,イルヘルミナ,パーシェル,セルバンテス,アントン,マリス,トーマス"
11,GAIDEN,"聖王継承",1,,,,,"聖王帰還",11,,"主人公,フィーナ,ピリカ,ユリアナ,ルイーゼ,アインスロット,シルヴァ,ラザフォード,ウェイン,ダナディ,ペリノア,ライネル,カイ"
12,GAIDEN,"聖王継承",1,,,,,"救国軍の危機",12,,"主人公,アントン,マリス,トーマス,ロヴァル,セルバンテス,ルイーゼ,ウェイン,アインスロット,ダナディ,ロイ,ヨハン"
13,GAIDEN,"聖王継承",1,,,,,"聖都の守護者",13,,"主人公,ピリカ,アインスロット,ダナディ,アリエッタ,ハーマン,ロイ,セルバンテス,バクストン,ウェイン,パーシェル"
14,GAIDEN,"聖王継承",1,,,,,"聖王の剣",14,,"主人公,フィーナ,ピリカ,アインスロット,ダナディ,ウェイン,リフレット,ローエンディア,シンフォニア,ロイ,ヨハン,ユリアナ"
15,GAIDEN,"副都の一番長い日",2,,,,,"副都壊滅！？",1,,"主人公,フィーナ,ピリカ,シルヴァ,ヴォルグ,アルドラ,ニンファ,ロレッタ,ギルバート,セリーヌ"
16,GAIDEN,"副都の一番長い日",2,,,,,"議長代理のお仕事",2,,"主人公,フィーナ,ピリカ,シルヴァ,ラビィ,スレイ,アルヴェルト,リュビア,ミーム"
17,GAIDEN,"副都の一番長い日",2,,,,,"商人ギルドの危機",3,"移動するお宝『ゴールデンアックス』","主人公,フィーナ,ピリカ,エマ,ナックル,エンヴィ,パトリシア,メリッサ"
18,GAIDEN,"副都の一番長い日",2,,,,,"暗躍する影",4,,"主人公,フィーナ,ピリカ,シルヴァ,ミシディア,？？？（トルウァトス）,タラブ,フィリップ,エマ,キリエ"
19,GAIDEN,"副都の一番長い日",2,,,,,"潜入調査",5,,"主人公,フィーナ,ピリカ,カイン,ジグムント,フランツ,バイセツ,ヴァネッサ,ギルバート"
20,GAIDEN,"副都の一番長い日",2,,,,,"暗殺者",6,,"主人公,フィーナ,ピリカ,ビルギット,ギルバート,スレイ,アルドラ,シルヴァ,トルウァトス,タラブ"
21,GAIDEN,"副都の一番長い日",2,,,,,"スラム防衛線",7,,"主人公,フィーナ,ピリカ,ヴォルグ,ニンファ,ニーナ,フェイスレス,ミーム,アルドラ"
22,GAIDEN,"副都の一番長い日",2,,,,,"フランツの情報",8,,"主人公,フィーナ,ピリカ,ビルギット,パトリシア,エンヴィ,フランツ"
23,GAIDEN,"副都の一番長い日",2,,,,,"議長暗殺",9,,"主人公,フィーナ,ピリカ,ビルギット,パトリシア,ギルバート,セリーヌ,マリナ,ミシディア,アルドラ,カイン,フランツ,アルヴェルト,エンヴィ"
24,GAIDEN,"副都の一番長い日",2,,,,,"魔神現る",10,,"主人公,フィーナ,ピリカ,メルヴィナ,ヴァネッサ,ノエル,カイン,ミシディア,マリナ,シルヴァ,トルウァトス,タラブ,ラザフォード"
25,GAIDEN,"副都の一番長い日",2,,,,,"議長救出",11,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,アルドラ,ジグムント,バイセツ,セリーヌ,ヴォルグ,スレイ,アルヴェルト,フィリップ,ギルバート,ラビィ,リュビア,フランツ,アンジェリカ,エンヴィ,ロレッタ"
26,GAIDEN,"副都の一番長い日",2,,,,,"副都のために",12,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,フランツ,アンジェリカ,ヴァネッサ,キリエ,ヴォルグ,アルドラ"
27,GAIDEN,"副都の一番長い日",2,,,,,"魔神タラブ",13,"シルヴァはおっさん呼び。シルヴァの嫁（イルマ）はお姉さん呼び","主人公,フィーナ,ピリカ,シルヴァ,タラブ,カイン,ロレッタ,ヴォルグ,ジグムント,ミシディア"
28,GAIDEN,"副都の一番長い日",2,,,,,"魔神トルウァトス",14,,"主人公,ピリカ,アンジェリカ,アルドラ,トルウァトス,ラザフォード,フェイスレス,ニーナ,ミシディア,エンヴィ"
29,GAIDEN,"副都の一番長い日",2,,,,,"団結の力",15,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ミーム,ギルバート,セリーヌ,シルヴァ"
30,GAIDEN,"学園祭へようこそ",3,,,,,"学園祭へのお誘い",1,,"主人公,フィーナ,ピリカ,カイン,カレン,チアリー,ルカナ,レベッカ,イザベル,フィリアナ,ミシディア,シューレ,ファティマ,メルティオール"
31,GAIDEN,"学園祭へようこそ",3,,,,,"生命の塔見学",2,,"主人公,フィーナ,ピリカ,ファティマ,ディルマ,リーゼロッテ,ミニモ,パルナ,プルナ,ミーナ,イスレム,カルデア,カイン"
32,GAIDEN,"学園祭へようこそ",3,,,,,"運命の塔見学",3,"名前のみ：ホイットニー教授","主人公,フィーナ,ピリカ,ファティマ,カレン,チアリー,イザベル,レベッカ,ルカナ,ヴェルナー"
33,GAIDEN,"学園祭へようこそ",3,,,,,"学園祭開幕！",4,,"主人公,フィーナ,ピリカ,ヴェルナー,カティア,クリスティン,フィリアナ,ミーナ"
34,GAIDEN,"学園祭へようこそ",3,,,,,"恐怖のお化け屋敷",5,,"主人公,フィーナ,ピリカ,チャーノ,フェブリア,ゲッベルツ"
35,GAIDEN,"学園祭へようこそ",3,,,,,"癒しのメイド喫茶",6,,"主人公,フィーナ,ピリカ,エレミア,ソーニャ,シューレ,ヨナ,ダスティ,メルティオール"
36,GAIDEN,"学園祭へようこそ",3,,,,,"賢者様のダンジョン",7,"メルティオールとオリアーナは幼馴染。メル兄","主人公,フィーナ,ピリカ,オリアーナ,ウーヴィア,アイザック,ディルマ,メルティオール"
37,GAIDEN,"学園祭へようこそ",3,,,,,"舞台劇・魔法少女",8,,"主人公,フィーナ,ピリカ,魔王イザヤ,ミーナ,ミニモ,リーゼロッテ,パルナ,プルナ,ゲッベルツ"
38,GAIDEN,"学園祭へようこそ",3,,,,,"リンゴ飴の怪",9,"原因はミニモ＆ゲッベルツ果樹園","主人公,フィーナ,ピリカ,ファティマ,ユニ,ディ・ロ,オネット,ケント,アカダルマ（リンゴ）,フジ（リンゴ）"
39,GAIDEN,"学園祭へようこそ",3,,,,,"研究発表会",10,,"主人公,フィーナ,ピリカ,ヨナ,チアリー,メラヒム,ディルマ,アルドラ,ネルヴァ"
40,GAIDEN,"学園祭へようこそ",3,,,,,"総合火力演習開催！",11,"ヴェルナーとクラウスは長い付き合い","主人公,フィーナ,ピリカ,フェブリア,ヴェルナー,チャーノ,カティア,ファティマ,メルティオール,ディルマ,クラウス"
41,GAIDEN,"学園祭へようこそ",3,,,,,"マナの暴走",12,,"主人公,フィーナ,ピリカ,ファティマ,メルティオール,ディルマ,フィリアナ,カレン,チアリー,レベッカ,イザベル,ルカナ,ミーナ"
42,GAIDEN,"学園祭へようこそ",3,,,,,"地下迷宮探索",13,,"主人公,ピリカ,カティア,ヴェルナー,エレミア,ユニ,クリオラ,イザヤ"
43,GAIDEN,"学園祭へようこそ",3,,,,,"残留思念との対決",14,,"主人公,フィーナ,ピリカ,クリオラ,イザヤ,アイザック"
44,GAIDEN,"学園祭へようこそ",3,,,,,"最高のフィナーレ！",15,,"主人公,フィーナ,ピリカ,カルデア,イザヤ,アイザック,ヴェルナー,ヨナ,エレミア,カティア,オリアーナ,メラヒム,クラウス,フィオナ,ユニ,フィリアナ,チアリー,イザベル,ルカナ,ハムレット,カレン,シューレ,オネット,ディ・ロ,ファティマ,メルティオール,ディルマ,ソーニャ,チャーノ,フェブリア,ゲッベルツ,ウーヴィア,ミーナ,イスレム,ケント"
45,GAIDEN,"砂漠に響く歌",4,,,,,"4-1 黒く染まる湖",1,,"主人公,フィーナ,ピリカ"
46,GAIDEN,"砂漠に響く歌",4,,,,,"• 4-2 閉ざされた真実",2,,"主人公,フィーナ,ピリカ"
47,GAIDEN,"砂漠に響く歌",4,,,,,"• 4-3 想い届けるために",3,,"主人公,フィーナ,ピリカ"
48,GAIDEN,"砂漠に響く歌",4,,,,,"• 4-4 秘密、爆発、花束",4,,"主人公,フィーナ,ピリカ"
49,GAIDEN,"砂漠に響く歌",4,,,,,"• 4-5 砂漠の影",5,,"主人公,フィーナ,ピリカ"
50,GAIDEN,"砂漠に響く歌",4,,,,,"• 4-6 炸裂！鷹爪流星剣",6,,"主人公,フィーナ,ピリカ"
51,GAIDEN,"砂漠に響く歌",4,,,,,"• 4-7 うごめく竜たち",7,,"主人公,フィーナ,ピリカ"
52,GAIDEN,"砂漠に響く歌",4,,,,,"• 4-8 竜言歌",8,,"主人公,フィーナ,ピリカ"
53,GAIDEN,"砂漠に響く歌",4,,,,,"• 4-9 翼をください",9,,"主人公,フィーナ,ピリカ"
54,GAIDEN,"砂漠に響く歌",4,,,,,"• 4-10 剣となりて",10,,"主人公,フィーナ,ピリカ"
55,GAIDEN,"砂漠に響く歌",4,,,,,"• 4-11 黄金の目覚め",11,,"主人公,フィーナ,ピリカ"
56,GAIDEN,"砂漠に響く歌",4,,,,,"• 4-12 踊り踊らされ",12,,"主人公,フィーナ,ピリカ"
57,GAIDEN,"砂漠に響く歌",4,,,,,"• 4-13 鮮血の記憶",13,,"主人公,フィーナ,ピリカ"
58,GAIDEN,"砂漠に響く歌",4,,,,,"• 4-14 傭兵王ふたたび",14,,"主人公,フィーナ,ピリカ"
59,GAIDEN,"砂漠に響く歌",4,,,,,"• 4-15 飛翔、時を超えて",15,,"主人公,フィーナ,ピリカ"
60,GAIDEN,"迷宮に吼える",5,,,,,"5-1 山から来た便り",1,,"主人公,フィーナ,ピリカ"
61,GAIDEN,"迷宮に吼える",5,,,,,"• 5-2 魔物を追って",2,,"主人公,フィーナ,ピリカ"
62,GAIDEN,"迷宮に吼える",5,,,,,"• 5-3 突入っ！洞窟の中へ",3,,"主人公,フィーナ,ピリカ"
63,GAIDEN,"迷宮に吼える",5,,,,,"• 5-4 竜との遭遇",4,,"主人公,フィーナ,ピリカ"
64,GAIDEN,"迷宮に吼える",5,,,,,"• 5-5 セブンソード",5,,"主人公,フィーナ,ピリカ"
65,GAIDEN,"迷宮に吼える",5,,,,,"• 5-6 その名は魔天竜",6,,"主人公,フィーナ,ピリカ"
66,GAIDEN,"迷宮に吼える",5,,,,,"• 5-7 過去との衝突",7,,"主人公,フィーナ,ピリカ"
67,GAIDEN,"迷宮に吼える",5,,,,,"• 5-8 暗い炎　キキ",8,,"主人公,フィーナ,ピリカ"
68,GAIDEN,"迷宮に吼える",5,,,,,"• 5-9 鎮火",9,,"主人公,フィーナ,ピリカ"
69,GAIDEN,"迷宮に吼える",5,,,,,"• 5-10 火妖精と土妖精",10,,"主人公,フィーナ,ピリカ"
70,GAIDEN,"迷宮に吼える",5,,,,,"• 5-11 土妖精を探し出せ",11,,"主人公,フィーナ,ピリカ"
71,GAIDEN,"迷宮に吼える",5,,,,,"• 5-12 あの岸の向こうへ",12,,"主人公,フィーナ,ピリカ"
72,GAIDEN,"迷宮に吼える",5,,,,,"• 5-13 対決！イスレム隊",13,,"主人公,フィーナ,ピリカ"
73,GAIDEN,"迷宮に吼える",5,,,,,"• 5-14 イスレムの秘密",14,,"主人公,フィーナ,ピリカ"
74,GAIDEN,"迷宮に吼える",5,,,,,"• 5-15 錯綜！過去×未来",15,,"主人公,フィーナ,ピリカ"
75,GAIDEN,"迷宮に吼える",5,,,,,"• 5-16 それぞれの時代へ",16,,"主人公,フィーナ,ピリカ"
76,GAIDEN,"運命の導き",6,,,,,"6-1 腐敗",1,,"主人公,フィーナ,ピリカ"
77,GAIDEN,"運命の導き",6,,,,,"• 6-2 マナの循環",2,,"主人公,フィーナ,ピリカ"
78,GAIDEN,"運命の導き",6,,,,,"• 6-3 深き森の拒絶",3,,"主人公,フィーナ,ピリカ"
79,GAIDEN,"運命の導き",6,,,,,"• 6-4 消えたラファーガ",4,,"主人公,フィーナ,ピリカ"
80,GAIDEN,"運命の導き",6,,,,,"• 6-5 聖域",5,,"主人公,フィーナ,ピリカ"
81,GAIDEN,"運命の導き",6,,,,,"• 6-6 導き手の決意",6,,"主人公,フィーナ,ピリカ"
82,GAIDEN,"運命の導き",6,,,,,"• 6-7 強き者",7,,"主人公,フィーナ,ピリカ"
83,GAIDEN,"運命の導き",6,,,,,"• 6-8 さらば優しき日",8,,"主人公,フィーナ,ピリカ"
84,GAIDEN,"運命の導き",6,,,,,"• 6-9 枝分かれ",9,,"主人公,フィーナ,ピリカ"
85,GAIDEN,"運命の導き",6,,,,,"• 6-10 運命の渦へ",10,,"主人公,フィーナ,ピリカ"
86,GAIDEN,"運命の導き",6,,,,,"• 6-11 聖域の洗礼",11,,"主人公,フィーナ,ピリカ"
87,GAIDEN,"運命の導き",6,,,,,"• 6-12 再会",12,,"主人公,フィーナ,ピリカ"
88,GAIDEN,"運命の導き",6,,,,,"• 6-13 運命の果てに",13,,"主人公,フィーナ,ピリカ"
89,GAIDEN,"運命の導き",6,,,,,"• 6-14 素晴らしき世界へ",14,,"主人公,フィーナ,ピリカ"
90,GAIDEN,"魔鬼動乱篇",7,,,,,"動乱胎動",1,,"主人公,フィーナ,ピリカ"
91,GAIDEN,"魔鬼動乱篇",7,,,,,"• 7-2 魑魅魍魎",2,,"主人公,フィーナ,ピリカ"
92,GAIDEN,"魔鬼動乱篇",7,,,,,"• 7-3 第九領急襲",3,,"主人公,フィーナ,ピリカ"
93,GAIDEN,"魔鬼動乱篇",7,,,,,"• 7-4 戦鬼之性",4,,"主人公,フィーナ,ピリカ"
