id,catCode,bu,lv1,lv1_order,lv2,lv2_order,lv3,lv3_order,name,order,biko,charalist
1,KIZUNA_NO_KISEKI,"３部","ケ者の大陸篇",1,,,,,"すごいヤツが総代！",1,,"ガジジナ,ディシシヤ,シャロララ,テリリア,フォリリネ,ニュガガス,ニリリス,チロルル,チョコロロ,ジルルア,コルルリ,ガルルア,グララオ,ズィガガ,キララネ,トリリカ,ミネネア,シェギギム,パモモイ,ザリリオ,ポレレス,ゼシシラ,ネジジア,ラヴィヴィサ"
2,KIZUNA_NO_KISEKI,"３部","ケ者の大陸篇",1,,,,,"すごいお宝だあ！",2,,"ガジジナ,ユギギ,クルルア,ミネネア,ディシシヤ,グララオ,ズィガガ,ザリリオ,ポレレス,テリリア,チロルル,ガルルア,シェギギム,ミリリア,フリリム,ユルルガ,オウララ,ニリリス,シャロララ,パモモイ,トリリカ,ラヴィヴィサ,キコナナ,キララネ,ラミミス"
3,KIZUNA_NO_KISEKI,"３部","ケ者の大陸篇",1,,,,,"すごい男の帰還！",3,"ヴァレリオ財団の噂","ガジジナ,ギザザヤ,デューク,チョコロロ,チロルル,シェギギム,パモモイ,シャロララ,トリリカ,ラヴィヴィサ,ミリリア,ゼシシラ,クルルア,ミネネア,ユギギ,ネジジア,ラミミス,ズィガガ,ディシシヤ,グララオ,キララネ,ポレレス,ザリリオ,キコナナ,テリリア"
4,KIZUNA_NO_KISEKI,"３部","ケ者の大陸篇",1,,,,,"みんなすごいね！",4,,"ガジジナ,ギザザヤ,チロルル,ガルルア,クルルア,パモモイ,ディシシヤ,オウララ,ズィガガ,シャロララ,トリリカ,ラヴィヴィサ,グララオ,ユギギ,ザリリオ,ポレレス,フリリム,ミリリア,キコナナ,キララネ,ラミミス,ネジジア,ミネネア,ゼシシラ,ニュガガス,テリリア,ジルルア,ビゾゾエ,フォリリネ,ユルルガ,ニリリス,チョコロロ"
5,KIZUNA_NO_KISEKI,"３部","ケ者の大陸篇",1,,,,,"エピローグ・１",5,,"カイン,ゾーイ,ヴァリー,リーア,ダビド,グララオ,ポレレス,ガジジナ,ギザザヤ"
6,KIZUNA_NO_KISEKI,"３部","罪の大陸篇",2,,,,,"この首を縛るモノ",1,"関連クエスト：踏破型イベント（2016）＞蠢動する悪意","レオン,アメリー,ザエル,ヴァレリオ,ジェラルド,ハーディー,タチアナ,トリッシュ,クライン,アリシア,アシリア,イラリオン,エリシャ,カミラ,リーア,ヴァリー,ゾーイ,ローゼマリー,キース,ゼィヒア,ボムボマー,ヴィンス,サンディ"
7,KIZUNA_NO_KISEKI,"３部","罪の大陸篇",2,,,,,"黒い棺が開くとき",2,,"レオン,アメリー,ジェラルド,ハーディー,ヴィンス,サンディ,ヨハンナ,ドーリィ,ユディト,ベッツィー,リュドミラ,ゼィヒア,タチアナ,ザエル,リーア,ヴァリー,ゾーイ,ローゼマリー,キース,ヴィリヘルム,ヴァレリオ"
8,KIZUNA_NO_KISEKI,"３部","罪の大陸篇",2,,,,,"孤独なる罪人の群れ",3,,"レオン,アメリー,リーア,ヴァリー,ゾーイ,ローゼマリー,キース,ベッツィー,ヴィンス,アデライド,ギデオン,ジェラルド,ハーディー,タチアナ,トリッシュ,ホルスト,アリシア,アシリア,ザエル,ヴァレリオ,ゼィヒア"
9,KIZUNA_NO_KISEKI,"３部","罪の大陸篇",2,,,,,"仮面舞踏会の終焉",4,,"レオン,ザエル,ヴァレリオ,ゼィヒア,ローゼマリー,リーア,ヴァリー,ゾーイ,ヴィンス,ヨハンナ,ドーリィ,ユディト,ゼハティ"
10,KIZUNA_NO_KISEKI,"３部","罪の大陸篇",2,,,,,"放たれた魔弾",5,,"レオン,ローゼマリー,ザカリー,エレオノーラ,タチアナ,トリッシュ,ホルスト,アシリア,アリシア,ジェラルド,ボムボマー,ハーディー,ヴァレリオ,ザエル,リーア,ヴァリー,ゾーイ,キース,ヴィンス,サンディ,イラリオン,カミラ,エリシャ,ゼィヒア,クライン,アンセルム,アデライド,ギデオン,アメリー"
11,KIZUNA_NO_KISEKI,"３部","罪の大陸篇",2,,,,,"エピローグ・２",6,,"カイン,ヴァレリオ"
12,KIZUNA_NO_KISEKI,"３部","鉄煙の大陸篇",3,,,,,"そして――時は流れた",1,"ミカエラの無人機：エアステ、ツヴァイテ、ドリッテ、フィアテ_NL_アレックス、フロレンツィア、アリーナは警邏隊に入隊した","ジークルーン,ケーテ,イリーネ,クルト,ゴットフリート,グリゼルディス,ハンネス,アルトルム,ミカエラ,エアステ,フリードリッヒ,オティーリエ,オリヴィア,アロイス,カタリナ,ランドルフ,エーリヒ,ビアンカ,エッケハルト,ツィスカ,ギーゼラ,アリーナ,フロレンツィア,アレックス"
13,KIZUNA_NO_KISEKI,"３部","鉄煙の大陸篇",3,,,,,"鉄の葛が描く渦",2,"問題です！旧情報部が海底から発掘した、黒き鋼鉄の要塞の異名を持つ巨大無人機の名称は？_NL_ラースのイラストの後ろに写っている女の子（リリー）はラースの診療所の看護師となった","ジークルーン,ゴットフリート,アニヤ,エーリヒ,ランドルフ,ミカエラ,エアステ,アルトルム,フリードリッヒ,オティーリエ,ラース,アンチェ,アリーナ,フロレンツィア,アレックス,ディートリンデ"
14,KIZUNA_NO_KISEKI,"３部","鉄煙の大陸篇",3,,,,,"重なる時間",3,"ツェントラール・アイゼン：巨大無人機","ジークルーン,エッケハルト,ツィスカ,レーネ,ジルヴェスター,エレメンガルト,カーヤ,エーリヒ,ランドルフ,ハンネス,オリヴィア,アルトルム,ミカエラ,エアステ,アロイス,ギーゼラ,ケーテ,ヴァッサー,カタリナ"
15,KIZUNA_NO_KISEKI,"３部","鉄煙の大陸篇",3,,,,,"地上の灯に惹かれて",4,"ツェントラール・アイゼンに王家の紋章あり。（ミリヤムの機械にもある）","ジークルーン,フェーベ,ポッピー,アロイス,カタリナ,ミカエラ,エアステ,ハンネス,オリヴィア,アルトルム,エッケハルト,ツィスカ,レーネ,エーリヒ,ランドルフ,アリーナ,フロレンツィア,アレックス,エレメンガルト,カーヤ,クルト,ギーゼラ,ケーテ,ヴァッサー,ジルヴェスター,ミリヤム,フリードリッヒ,ビアンカ,ゴットフリート,イリーネ,ツェントラール（ミカエラの無人機。ツェントラール・アイゼンの音声機能を再利用）,アンチェ,アニヤ,グリゼルディス,ディートリンデ,オティーリエ,ラース"
16,KIZUNA_NO_KISEKI,"３部","鉄煙の大陸篇",3,,,,,"エピローグ・３",5,,"カイン,アロイス,ミカエラ,エアステ,ゴットフリート,ツァーリ"
17,KIZUNA_NO_KISEKI,"３部","薄命の大陸篇",4,,,,,"煌めく勇気の剣",1,"関連クエスト：第2部メインストーリー＞5章＞旅立ち","カイン,アル,リジジ,レジジ,薄命の民のおじいさん,エル,ラベゼリン,主人公,天空鳥,ネノ"
18,KIZUNA_NO_KISEKI,"３部","薄命の大陸篇",4,,,,,"星の瞬き",2,"関連クエスト：キャラクエ＞１～２部＞薄命の大陸＞真理の少女リン","アル,エル,ムニ,ナリ,ハグ,キア,アト,リン,キリ,ナロ,ルイ,ルト,ジリ,カイン,ザラ"
19,KIZUNA_NO_KISEKI,"３部","薄命の大陸篇",4,,,,,"旅人よ還れ",3,,"アル,エル,ネノ,ザラ,ラス,バロ（犬）,ナロ,リン,キリ,ルイ,ピノ,ドリ,ロズ,ハグ,ムニ,トア,シナ,スウ,天空鳥,ケナ,チル,サニ,ジリ,ルト,テラ,セト,アン,イド,カイン,コト,ケテ,ベレ,キア,カヌ,ラナ"
20,KIZUNA_NO_KISEKI,"３部","薄命の大陸篇",4,,,,,"僕らは荒野に煌く",4,,"アル,ナロ,ロズ,リン,キリ,フイ,ネノ,ジズ,キサ,ザラ,ヌイ,アン,ハグ,イド,ベレ,ケテ,カイン"
21,KIZUNA_NO_KISEKI,"３部","薄命の大陸篇",4,,,,,"エピローグ・４",5,,"カイン,ムニ,ヌイ,アル"
22,KIZUNA_NO_KISEKI,"３部","夜明けの大海篇",5,,,,,"新たなる嵐！",1,,"ヘリシティー,パラキナ,小さき者,魔法使い,モルガン,ドロッセル,アラクネー,マルパティ,ハヴェル,ニウ,ティア"
23,KIZUNA_NO_KISEKI,"３部","夜明けの大海篇",5,,,,,"奪う者",2,,"パラキナ,マルパティ,アラーツィ,アブエロ,アーネスト,アメリア,ハヴェル,ニウ,ティア,チェイス,イングリス,ヴィオレッタ,デューク,ヴィクトリア,ディラン"
24,KIZUNA_NO_KISEKI,"３部","夜明けの大海篇",5,,,,,"走れ！",3,,"パラキナ,マルパティ,アラーツィ,ヴィクトリア,モルガン,ドロッセル,アラクネー,オーガスタス,デューク,ゴルト,メリチェル,嵐竜"
25,KIZUNA_NO_KISEKI,"３部","夜明けの大海篇",5,,,,,"恍惚と不安",4,"監獄固め：足を複雑に組んで、関節をきめる技。マーシィさんが罪の大陸に収監されたときに編み出した技","パラキナ,マルパティ,クララ,セスト,メレディス,デューク,キャンディス,リスフィン,ドロッセル,マーシィさん,レン,ガイ,ハンジ,ラルダ,ロッタ,アンキラ,リンリー,ブロッサム,メイビア"
26,KIZUNA_NO_KISEKI,"３部","夜明けの大海篇",5,,,,,"奪う者たち",5,,"パラキナ,マルパティ,アラーツィ,マーシィさん,メイビア,アンキラ,ドロッセル,ハンジ,メレディス,デューク,ジーナ,嵐竜,セスト,キャンディス,リスフィン,モルガン,マリアン,リュキシー,ドミニック,バルトロ,ジャン,ガンネット,コンスタンサ,ガスパール,マレーナ,グローリア"
27,KIZUNA_NO_KISEKI,"３部","夜明けの大海篇",5,,,,,"約束の風が吹く",6,"関連クエスト：チェインストーリー＞海の覇者には栄光を","パラキナ,マルパティ,アラーツィ,アラクネー,メリチェル,ミラ,デューク,ゴルト,モルガン,ドロッセル,ヘリシティー,チェイス,セスト,クララ,ダビド,シャントゥール,嵐竜（小さき者）,キオラ,ミラベル,マール,バルトロ,ジャン,魔法使い（パラキナの先祖）,ニウ,ティア,アーネスト,ハヴェル,アブエロ,ディラン,マレーナ,グローリア,メイビア,リンリー,ブロッサム,レン,ガイ,ヴィクトリア,ヴィオレッタ,ハンジ,ヴァレリオ"
28,KIZUNA_NO_KISEKI,"３部","夜明けの大海篇",5,,,,,"エピローグ・５",7,,"カイン,ツァーリ,メッテイヤ,セラフィー"
29,KIZUNA_NO_KISEKI,"３部","帰還篇",6,,,,,"再び始まる物語",1,,"主人公,ピリカ,フィーナ,ミョルン,ユグド,ヘリオス,アリーチェ,エシャル,セレステ,アマツ,ウィンシー"
30,KIZUNA_NO_KISEKI,"３部","帰還篇",6,,,,,"彼方よりの来訪者",2,,"主人公,ピリカ,フィーナ,ミョルン,ウィンシー"
31,KIZUNA_NO_KISEKI,"３部","帰還篇",6,,,,,"運命は途切れぬ鎖",3,,"主人公,ピリカ,フィーナ,ミョルン,ウィンシー"
32,KIZUNA_NO_KISEKI,"３部","帰還篇",6,,,,,"絆、再び",4,,"主人公,ピリカ,フィーナ,ミョルン,ウィンシー,カイン,ツァーリ,メッテイヤ,セラフィー,オデッセイア,シヴァーニ"
