id,catCode,bu,lv1,lv1_order,lv2,lv2_order,lv3,lv3_order,name,order,biko,charalist
1,MAIN_STORY_PART3,"３部","ヘリオス篇",1,"1章",1,,,"王都の少年",1,"トロメアはマウリッツ商会王都支店で働いている_NL_トロメアが白き異形の接近に真っ先に気が付く","ヘリオス,アポロ,トロメア,シャロン,ジーメオン,カイン,マウリッツ"
2,MAIN_STORY_PART3,"３部","ヘリオス篇",1,"1章",1,,,"白い魔物、白い剣",2,,"ヘリオス,アポロ,トロメア,シャロン,カイン,ギルバート,アルドラ,シルヴァ,ミーム,ラティ,マウリッツ"
3,MAIN_STORY_PART3,"３部","ヘリオス篇",1,"1章",1,,,"聖王女",3,"SPストーリー：篤実の癒し手 マリナ","ヘリオス,アポロ,トロメア,シャロン,ユリアナ,カイン,ギルバート,アインスロット,マリナ　※SPストーリー"
4,MAIN_STORY_PART3,"３部","ヘリオス篇",1,"1章",1,,,"旅立ちの時",4,"SPストーリー：_NL_・年代記の継承者 トロメア_NL_・王都の少女 トロメア_NL_・昼行灯の串刺し公 マウリッツ","ヘリオス,アポロ,トロメア,シャロン,ユリアナ,ウガガラ,プアア,カイン,マウリッツ"
5,MAIN_STORY_PART3,"３部","ヘリオス篇",1,"2章",2,,,"ギルドからの依頼",1,"SPストーリー：_NL_・戦陣の豪傑 ヴォルグ_NL_・篤実の癒し手 マリナ_NL_・赤銅の小さな翼 エメライン＆フラット","ヘリオス,アポロ,トロメア,シャロン,カイン,マウリッツ,マリナ,シルヴァ,エメライン,フラット,セシル,ヴォルグ　※SPストーリー,ロベルタ　※SPストーリー"
6,MAIN_STORY_PART3,"３部","ヘリオス篇",1,"2章",2,,,"追う者、追われる者",2,"シャロン「はじめまして、リリスさん」_NL_リリス「……ええ、はじめまして」_NL__NL_SPストーリー：赤誠の雄 カイン","ヘリオス,アポロ,トロメア,シャロン,エメライン,フラット,セシル,テレサ,リリス,カイン,エンブラント,マリナ　※SPストーリー"
7,MAIN_STORY_PART3,"３部","ヘリオス篇",1,"2章",2,,,"九領からの流れ者",3,"関連クエスト：第3部メインストーリー＞アマツ篇＞2章＞凶刃_NL_SPストーリー：聖女の御剣 テレサ","ヘリオス,アポロ,トロメア,シャロン,カイン,テレサ,リリス,アマツ,ヒトリ,ミユキ,イイギリ,ドウマ,エンブラント"
8,MAIN_STORY_PART3,"３部","ヘリオス篇",1,"2章",2,,,"あかく染まる",4,"SPストーリー：“清廉の泉”騎士団団長代行 ルアンナ","ヘリオス,アポロ,トロメア,シャロン,カイン,テレサ,リリス,エンブラント,ルアンナ　※SPストーリー,ミノア　※SPストーリー,ソール　※SPストーリー"
9,MAIN_STORY_PART3,"３部","ヘリオス篇",1,"2章",2,,,"かつての聖人たち",5,"SPストーリー：未来に祈る聖女 リリス","ヘリオス,アポロ,トロメア,シャロン,カイン,テレサ,リリス,エンブラント,ウェイン"
10,MAIN_STORY_PART3,"３部","ヘリオス篇",1,"3章",3,,,"罪人・罪人・聖騎士",1,"SPストーリー：年代記の継承者 トロメア","ヘリオス,アポロ,トロメア,シャロン,カイン,フローリア,エレッタ,ユリアナ,ヴァリー,ゾーイ,ファティマ"
11,MAIN_STORY_PART3,"３部","ヘリオス篇",1,"3章",3,,,"学園の少女たち",2,"関連クエスト：第3部メインストーリー＞アリーチェ篇＞3章＞白い剣の少年_NL_SPストーリー：聖騎士団長“聖楽の指揮者” フローリア","ヘリオス,アポロ,トロメア,シャロン,カイン,ファティマ,ディルマ,メルティオール,フローリア　※SPストーリー,エレッタ　※SPストーリー,全自動始末書添削機　※SPストーリー,ヴァリー　※SPストーリー,ゾーイ　※SPストーリー,フィリアナ,アリーチェ,ベルタ,カーリン,デルフィーナ,？？？（エステラ）"
12,MAIN_STORY_PART3,"３部","ヘリオス篇",1,"3章",3,,,"真実の一片",3,"関連クエスト：第2部メインストーリー＞Sequels 主人公・フィーナ篇＞未来に向かって","ヘリオス,アポロ,トロメア,シャロン,カイン,ファティマ,ディルマ,メルティオール,主人公,ピリカ,フィーナ,ミョルン,アリーチェ,エシャル,セレステ,アマツ,エレミア"
13,MAIN_STORY_PART3,"３部","ヘリオス篇",1,"3章",3,,,"彼からの手紙",4,,"ヘリオス,アポロ,トロメア,シャロン,カイン,フローリア,ヴァリー,ゾーイ,ファティマ,ディルマ,メルティオール"
14,MAIN_STORY_PART3,"３部","ヘリオス篇",1,"3章",3,,,"憧れた背中",5,,"ヘリオス,アポロ,トロメア,シャロン,カイン,フローリア,エレッタ,ファティマ,ディルマ,メルティオール"
15,MAIN_STORY_PART3,"３部","ヘリオス篇",1,"4章",4,,,"砂漠の旅人",1,"SPストーリー：年代記の継承者 トロメア","ヘリオス,アポロ,トロメア,シャロン,ゾディア,シャクール"
16,MAIN_STORY_PART3,"３部","ヘリオス篇",1,"4章",4,,,"遺跡にて",2,,"ヘリオス,アポロ,トロメア,シャロン,ゾディア,シャクール,カディル,ラティーファ"
17,MAIN_STORY_PART3,"３部","ヘリオス篇",1,"4章",4,,,"遺跡の真実",3,,"ヘリオス,アポロ,トロメア,シャロン,ゾディア,シャクール,カディル,ラティーファ"
18,MAIN_STORY_PART3,"３部","ヘリオス篇",1,"4章",4,,,"力の使い方",4,"関連クエスト：第3部メインストーリー＞エシャル篇＞4章＞竜を呼ぶ歌","ヘリオス,アポロ,トロメア,シャロン,ゾディア,シャクール,カディル,ラティーファ,エシャル"
19,MAIN_STORY_PART3,"３部","ヘリオス篇",1,"5章",5,,,"世界樹を目指して",1,"関連クエスト：第3部メインストーリー＞セレステ篇＞5章＞招かれざるを招く","ヘリオス,アポロ,トロメア,シャロン,オストラ,サンデーロ,ヴィーボラ,ラウト"
20,MAIN_STORY_PART3,"３部","ヘリオス篇",1,"5章",5,,,"渦巻く奸計と決意",2,"関連クエスト：第3部メインストーリー＞セレステ篇＞5章＞信じるものの戦い","ヘリオス,アポロ,トロメア,シャロン,ラウト,セレステ,クーシャン,シーシャン,ラシル,オストラ,サンデーロ,ヴィーボラ,クストディオ,レアーオ,ポテンシア,ユグド"
