id,catCode,bu,lv1,lv1_order,lv2,lv2_order,lv3,lv3_order,name,order,biko,quest,charalist
1,MAIN_STORY_PART5,"５部","プロローグ",1,"前篇",1,,,"出会い、はじまり",1,"クロス・チェインクロニクルと刻のクロニクルが共鳴する_NL__NL_「お願いだよ。どうか、未来を……！」_NL_「キミがやるんだ。やるしかないんだ……」_NL_「また、逃げるの？　……いいわ、逃げなさい。刻の果て――全ての始まりの場所まで」_NL_「最後の希望を、君に託そう。私たちの歴史を――受け取ってくれ」",,"主人公,ピリカ,フィーナ,ミレニア,カイン,ミシディア,マリナ,ヘリオス,アポロ,トロメア,アマツ,ヒトリ,ベニガサ"
2,MAIN_STORY_PART5,"５部","プロローグ",1,"前篇",1,,,"第四の襲来",2,"ミレニア「………………」_NL_ミレニア「……ありがとう、ございます。ご先祖様」",,"主人公,ピリカ,フィーナ,ミレニア,カイン,ミシディア,マリナ,ヘリオス,アポロ,トロメア,アマツ,ヒトリ,ベニガサ,ベニガサ（未来）"
3,MAIN_STORY_PART5,"５部","プロローグ",1,"前篇",1,,,"魔の山にて",3,,,"主人公,ピリカ,フィーナ,ミレニア,カイン,ミシディア,マリナ,ヘリオス,アポロ,トロメア,アマツ,ヒトリ,ベニガサ,ベニガサ（未来）,ヴォルグ,アルドラ,ロレッタ,ジグムント,グラニ,フィリップ,ヴァニラ,幻魔竜"
4,MAIN_STORY_PART5,"５部","プロローグ",1,"前篇",1,,,"未来からの来訪者",4,,,"主人公,ピリカ,フィーナ,ミレニア,カイン,ミシディア,マリナ,アポロ,アマツ,ベニガサ,ベニガサ（未来）,ヴォルグ,アルドラ,ロレッタ,ジグムント,グラニ,フィリップ,ヴァニラ,幻魔竜"
5,MAIN_STORY_PART5,"５部","プロローグ",1,"中篇",2,,,"再会",1,"ミレニアがナックル像（もしくは副都？）を見て何かを思う",,"主人公,ピリカ,フィーナ,ミレニア,カイン,ミシディア,マリナ,アマツ,ヒトリ,ベニガサ,ベニガサ（未来）,ヴォルグ,アルドラ,ロレッタ,ジグムント,フィリップ,ヴァニラ,ミラ,ゴルト,ビアンカ（未来）,モアネット"
6,MAIN_STORY_PART5,"５部","プロローグ",1,"中篇",2,,,"交差の港",2,,,"ミレニア,カイン,ミラ,ビアンカ（未来）,ラインベルト,ディーハルト"
7,MAIN_STORY_PART5,"５部","プロローグ",1,"中篇",2,,,"海よりの使者",3,,,"カイン,トルシュ,ミラ,ビアンカ（未来）,ラインベルト,ディーハルト"
8,MAIN_STORY_PART5,"５部","プロローグ",1,"中篇",2,,,"集う希望",4,"TCJ（タイムコントロールジャマー）：鉄煙の大陸から発掘された時間の流れに干渉できる『四次元ジャイロ』を応用して開発されたY.G.27における刻の侵略者への対抗策",,"主人公,ピリカ,フィーナ,ミレニア,カイン,ベニガサ（未来）,ヴァニラ,トルシュ,ミラ,ビアンカ（未来）,ニピカ,ユグド,カルネロ,カルネロ（未来）"
9,MAIN_STORY_PART5,"５部","プロローグ",1,"後篇",3,,,"うつろう使者",1,,,"主人公,ピリカ,フィーナ,ミレニア,スフラトゥス,スフラトゥス（未来）,シュガー,シュガー=ノアレ,シュガーMark60,リーゼロッテ,パルナ,プルナ,イヴェルタ,ディルマ,ファティマ,メルティオール,ベニガサ（未来）,ヴァニラ,トルシュ,ビアンカ（未来）"
10,MAIN_STORY_PART5,"５部","プロローグ",1,"後篇",3,,,"甘き誇り",2,,,"主人公,ピリカ,フィーナ,ミレニア,スフラトゥス,マジカルダスト（スフラトゥス（未来））,シュガー,シュガー=ノアレ,マジカルトリート（シュガーMark60）,リーゼロッテ,パルナ,プルナ,イヴェルタ,ディルマ,ファティマ,メルティオール,ベニガサ（未来）,ヴァニラ,トルシュ,ビアンカ（未来）"
