id,catCode,bu,lv1,lv1_order,lv2,lv2_order,lv3,lv3_order,name,order,biko,quest,charalist
1,OTHER,"１～２部","チュートリアル",1,,,,,"チュートリアル",1,"義勇軍の初めての仕事は魔物退治……ではなく荷物運び_NL_リアルイベントのクイズにもなった","シナリオ一覧から確認不可_NL__NL_","主人公,ピリカ,カイン,シルヴァ,占い師,アルドラ,スレイ,ニンファ"
2,OTHER,"１～２部","フリークエスト",2,,,,,"終焉再び…",1,"カインがパン屋をやりたいと言い出す","シナリオ一覧から確認不可_NL__NL_特定キャラをパーティーに入れてクリアすると、スタッフロール後に追加ストーリーが見られる_NL_・主人公v2_NL_・年代記の少女フィーナ_NL_・年代記の管理者フィーナ_NL_・初期義勇軍v2（いずれか1名でOK）_NL_　　善良なる騎士カイン_NL_　　頼れる弓兵長ミシディア_NL_　　熱き司祭マリナ_NL_・魔神（いずれか1名でOK）_NL_　　成功の魔神ラベゼリン_NL_　　死の魔神マスカルウィン_NL_・神器所持者（いずれか1名でOK）_NL_　　慧眼の弓士イシュチェル_NL_　　時の大魔導師ペレキュデス_NL_　　惨禍の賭博師レノ_NL_　　試練を受けし姉妹レンレ_NL_　　試練を受けし姉妹ミンミ_NL_　　衝撃の一矢シェキナ_NL_　　歩みを止めぬ者シリル_NL_　　世界樹の芽守フィシ_NL_　　日輪の担い手ギュネス","主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ペイシェ,リヴェラ,ガラクスィアス,シーター,黒の根源,レノ,セラフィー,オデッセイア,マスカルウィン,バルクス,ラベゼリン,ミョルン,メッテイヤ,イシュチェル,クライン,シェキナ,グール=ヴール,セレン,フィシ,レンレ,ミンミ,ギルバート,セリーヌ"
3,OTHER,"１～２部","深淵の渦",3,,,,,"ゼファル",1,,"シナリオ一覧から確認不可","主人公,フィーナ,ピリカ,ククリ,ゼファル"
4,OTHER,"１～２部","深淵の渦",3,,,,,"バグリス",2,,"シナリオ一覧から確認不可","主人公,フィーナ,ピリカ,アルマ,バグリス"
5,OTHER,"１～２部","深淵の渦",3,,,,,"クニアリ",3,,"シナリオ一覧から確認不可","アルマ,ククリ,クニアリ"
6,OTHER,"１～２部","深淵の渦",3,,,,,"ミズギタリ",4,,"シナリオ一覧から確認不可","アルマ,ククリ,ミズギタリ"
7,OTHER,"１～２部","深淵の渦",3,,,,,"ヒザルビン",5,"ククリが探している「あいつ」から大事なものを返してもらおうとしている","シナリオ一覧から確認不可","アルマ,ククリ,ヒザルビン"
8,OTHER,"１～２部","深淵の渦",3,,,,,"マルネス",6,,"シナリオ一覧から確認不可","アルマ,ククリ,マルネス"
9,OTHER,"１～２部","深淵の渦",3,,,,,"サクルフ",7,,"シナリオ一覧から確認不可","アルマ,ククリ,サクルフ"
10,OTHER,"１～２部","深淵の渦",3,,,,,"シンブク",8,,"シナリオ一覧から確認不可",
11,OTHER,"１～２部","深淵の渦",3,,,,,"カラブ",9,,"シナリオ一覧から確認不可",
12,OTHER,"３部","3部OPドラマ＆ムービー",4,,,,,"OPドラマ",1,,,"主人公,ピリカ,フィーナ,ミョルン,カイン,ミシディア,マリナ,リヴェラ,ガラクスィアス,シーター,ヘリオス,アリーチェ,エシャル,セレステ,アマツ,トロメア"
13,OTHER,"３部","伝承篇初回",6,,,,,"伝承篇初回",1,,"シナリオ一覧から確認不可","占い師"
14,OTHER,"３部","年代記の塔",7,,,,,"第1階層突破",1,,"シナリオ一覧から確認不可","シルヴァ,セリーヌ"
15,OTHER,"３部","年代記の塔",7,,,,,"第2階層突破",2,,"シナリオ一覧から確認不可","リリス,テレサ"
16,OTHER,"３部","年代記の塔",7,,,,,"第3階層突破",3,,"シナリオ一覧から確認不可","メルティオール,ディルマ,ファティマ"
17,OTHER,"３部","年代記の塔",7,,,,,"第4階層突破",4,,"シナリオ一覧から確認不可","アシュリナ,ファラ,ムジカ"
18,OTHER,"３部","年代記の塔",7,,,,,"第5階層突破",5,,"シナリオ一覧から確認不可","ビエンタ,バリエナ"
19,OTHER,"３部","年代記の塔",7,,,,,"第6階層突破",6,,"シナリオ一覧から確認不可","ツル,ズイハ,ミシマ"
20,OTHER,"３部","年代記の塔",7,,,,,"第7階層突破",7,,"シナリオ一覧から確認不可","エイレヌス,黒騎士"
21,OTHER,"３部","年代記の塔",7,,,,,"第8階層突破",8,,"シナリオ一覧から確認不可","リーア,バルトロ,ミラ,キララネ,ホルスト"
22,OTHER,"３部","年代記の塔",7,,,,,"第9階層突破",9,,"シナリオ一覧から確認不可","リヴェラ,リン,フェーベ"
23,OTHER,"３部","年代記の塔",7,,,,,"第10階層突破",10,,"シナリオ一覧から確認不可","ヘリオス,アリーチェ,エシャル,セレステ,アマツ,フィーナ,ピリカ,占い師"
24,OTHER,"４部","義勇軍本部",8,,,,,"義勇軍本部初回",1,,"シナリオ一覧から確認不可","主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ"
25,OTHER,"４部","絆の大出撃",9,,,,,"絆の大出撃初回（4部）",1,,"シナリオ一覧から確認不可","ユリアナ,デューク,キララネ,リーア,ムニ,ジークルーン,リヴェラ"
26,OTHER,"４部","列伝の間",10,,,,,"列伝の間初回",1,,"シナリオ一覧から確認不可","占い師"
