id,catCode,bu,lv1,lv1_order,lv2,lv2_order,lv3,lv3_order,name,order,biko,charalist
1,SECRET_QUEST,"３部","ヘリオス篇",1,,,,,"10章『ふたりの辿る道』",1,,"リリス,テレサ"
2,SECRET_QUEST,"３部","ヘリオス篇",1,,,,,"11章『使命を越えて』",2,"関連クエスト：キャラクエ＞３部＞聖都＞未来に祈る聖女リリス","リリス,テレサ,シエラスエス,ヘリオス,アポロ,トロメア,主人公,ピリカ,フィーナ,カイン,ミシディア,マリナ,エノシュ,メトセラ,ヨシカゲ,シンディ,ハルルガ,ウィンシー"
3,SECRET_QUEST,"３部","ヘリオス篇",1,,,,,"12章『憧れと出会い』",3,,"ガブリエラ,シルヴァ,イルマ,ミョルン,ヴォルグ"
4,SECRET_QUEST,"３部","ヘリオス篇",1,,,,,"13章『新たな日々のはじまり』",4,,"ヘリオス,アポロ,トロメア,ジーメオン"
5,SECRET_QUEST,"３部","アリーチェ篇",2,,,,,"10章『ヒーローごっこ』",1,"ギルド戦士シルバン：カーリンが好きだった絵本","アリーチェ,ベルタ,カーリン,デルフィーナ,エステラ"
6,SECRET_QUEST,"３部","アリーチェ篇",2,,,,,"11章『包帯ができるまで』",1,,"リューリィ,ユージェニー,オレイユ,フォルテナータ,ティニア,ヴィニア"
7,SECRET_QUEST,"３部","アリーチェ篇",2,,,,,"12章『研究の果て』",1,"関連クエスト：第3部メインストーリー＞12章＞あたしの魔法　※SPストーリー：ユニ","ディルマ,ファティマ,メルティオール,アドヴェルサス,エレミア"
8,SECRET_QUEST,"３部","エシャル篇",3,,,,,"10章『器の軌跡』",1,"義賊ビーアルジャーンの正体はゼルザールだった","ゼルザール,砂漠の守護者,フィッダ,白の預言者"
9,SECRET_QUEST,"３部","エシャル篇",3,,,,,"11章『イザークの戦い』",1,,"イザーク,メルチェーデ"
10,SECRET_QUEST,"３部","エシャル篇",3,,,,,"12章『宴』",1,"関連クエスト：第3部メインストーリー＞エシャル篇＞1章＞はじまりの歌","エシャル,シャディア,ドゥルダナ,ムハバード,ラール,ニール,ラヴィーシュ,ジャカレイ,ケマイエス,ハサン,ハキム,ナイエル,アシュリナ,ファラ,フィッダ,ラティーファ,メルチェーデ,ニキ,タンナーズ,アイシャ,アースラ,マレイカ,チャム=チャム,デンガル,サーシャ,ファルナーズ,アルラシード,カリファ,ムジカ,ファルリン,ムスタファ,ヒシャム"
11,SECRET_QUEST,"３部","セレステ篇",4,,,,,"10章『ログナンバー01』",1,,"セレステ,博士"
12,SECRET_QUEST,"３部","セレステ篇",4,,,,,"11章『ログナンバー02』",1,,"セレステ,ビオレータ,ナランハ,アゼロ"
13,SECRET_QUEST,"３部","セレステ篇",4,,,,,"12章『選択の祖』",1,,"ユグド,ラシル,アルボール（若）"
14,SECRET_QUEST,"３部","アマツ篇",5,,,,,"10章『緑青』",1,,"ロクショウ,スズシロ,シロガネ"
15,SECRET_QUEST,"３部","アマツ篇",5,,,,,"11章『前夜』",1,,"イザナミ,クチナシ,ミユキ,イイギリ,シュザ,ヨシツグ"
16,SECRET_QUEST,"３部","アマツ篇",5,,,,,"12章『雛芥子』",1,"アオイ「あらあら、まあまあ……！」_NL_アオイ「あらあら、まあまあ……！！」_NL_アオイ「あらあら、まあまあ……♪」","オウシン,スオウ,メイゲツ,アオイ"
