id,catCode,lv1,lv2,lv3,name,order,biko,charalist
1,MAIN_STORY_PART1,1章,,,フィーナとの出会い,1,,"フィーナ,主人公,ピリカ"
2,MAIN_STORY_PART1,1章,,,物語の始まり,2,旅人Bが少しだけ登場,"主人公,旅人A"
3,MAIN_STORY_PART1,2章,,,聖都へ,1,,"フィーナ,聖女"
4,MAIN_STORY_PART2,1章,,,冒険始動,1,,"主人公,仲間B"
5,MAIN_STORY_PART3,ヘリオス篇,1章,,王都の少年,1,,"主人公,少年A"
6,MAIN_STORY_PART3,ヘリオス篇,1章,,聖王女,2,,"聖王女,兵士"
7,MAIN_STORY_PART3,アリーチェ篇,1章,,魔法学園普通科,1,,"アリーチェ,生徒A"
8,MAIN_STORY_PART4,幻獣の世界,,,その世界の理,1,,"主人公,幻獣"
9,MAIN_STORY_PART4,遊戯の世界,,,夢の国へ,1,,"主人公,夢の住人"
10,MAIN_STORY_PART5,賢愚の未来,,,魔法使いの目覚め,1,,"魔法使い,弟子"
11,KIZUNA_NO_KISEKI,罪の大陸篇,第一話,,この首を縛るモノ,1,,"主人公,囚人"
12,DENSHO_HEN,伝承篇『ヨシツグ伝』,第四話,,妖精の戦い,1,,"ヨシツグ,妖精"
13,GRAND_SAGA,グランドサーガ『聖都篇』,第二話,,父の背中,1,,"主人公,父"
14,SECRET_QUEST,ヘリオス篇,10章,,ふたりの辿る道,1,,"主人公,仲間A"
15,SIDE_STORY_PART4,フィーナ・レポート,,,フィーナ・レポート１,1,レポート内容の補足,"フィーナ,研究者"
16,EVENT_QUEST_ANOMALY,,,,新たなる力,1,,"主人公,謎の人物"
17,GAIDEN,学園祭へようこそ,,,学園祭へのお誘い,1,,"主人公,生徒会長"
18,EVENT_TOUHA,ケ者の国のアリー,,,プロローグ１,1,,"アリー,ケ者の兵士"
19,EVENT_DAISYURYO,インバラフェスが始まる！,,,オープニング,1,,"主人公,フェス主催者"
20,EVENT_KYOTEKI,白き愛のチョコ襲来,,,白き愛は暴走中１,1,,"主人公,チョコ魔物"
21,CHAIN_STORY,賞金争奪戦,,,マンハンター,1,,"ハンターA,ハンターB"
22,EVENT_QUEST,これからの迷宮山脈,,,これからの迷宮山脈,1,,"主人公,探索者"
23,COLLAB_QUEST,ペルソナ５,,,プロローグ,1,,"主人公,モルガナ"
24,COLLAB_GAIDEN,レムレス島,,,開拓者の島,1,,"開拓者,島民"
25,FREE_QUEST,断章,,,フィーナの日記,1,フィーナの過去に関する記述,"フィーナ,謎の人物"
26,CHARACTER_QUEST,年代記の管理者フィーナ,出会い,,フィーナ,1,,"フィーナ,主人公"
27,CHARACTER_QUEST,年代記の管理者フィーナ,運命の物語,,今日は洗濯日和,2,洗濯と戦いの日常,"ピリカ,主人公,フィーナ,島民,魔物,酒場のマスター"
28,CHARACTER_QUEST,年代記の管理者フィーナ,絆の物語,,明日の海,3,友情の物語,"フィーナ,主人公"
29,OTHER,年代記の塔,,,5階層突破,1,高難易度コンテンツ,"主人公,謎の敵"
30,CHARACTER_QUEST,年代記の管理者フィーナ,運命の物語,,今日は洗濯日和,2,洗濯と戦いの日常,"ピリカ,主人公,フィーナ,島民,魔物,酒場のマスター"
31,CHARACTER_QUEST,年代記の管理者フィーナ,運命の物語,,今日は洗濯日和,2,洗濯と戦いの日常,"ピリカ,主人公,フィーナ,島民,魔物,酒場のマスター"
32,CHARACTER_QUEST,年代記の管理者フィーナ,運命の物語,,今日は洗濯日和,2,洗濯と戦いの日常,"ピリカ,主人公,フィーナ,島民,魔物,酒場のマスター"
33,CHARACTER_QUEST,年代記の管理者フィーナ,運命の物語,,今日は洗濯日和,2,洗濯と戦いの日常,"ピリカ,主人公,フィーナ,島民,魔物,酒場のマスター"
34,CHARACTER_QUEST,年代記の管理者フィーナ,運命の物語,,今日は洗濯日和,2,洗濯と戦いの日常,"ピリカ,主人公,フィーナ,島民,魔物,酒場のマスター"
35,CHARACTER_QUEST,年代記の管理者フィーナ,運命の物語,,今日は洗濯日和,2,洗濯と戦いの日常,"ピリカ,主人公,フィーナ,島民,魔物,酒場のマスター"
36,CHARACTER_QUEST,年代記の管理者フィーナ,運命の物語,,今日は洗濯日和,2,洗濯と戦いの日常,"ピリカ,主人公,フィーナ,島民,魔物,酒場のマスター"
37,CHARACTER_QUEST,年代記の管理者フィーナ,運命の物語,,今日は洗濯日和,2,洗濯と戦いの日常,"ピリカ,主人公,フィーナ,島民,魔物,酒場のマスター"
38,CHARACTER_QUEST,年代記の管理者フィーナ,運命の物語,,今日は洗濯日和,2,洗濯と戦いの日常,"ピリカ,主人公,フィーナ,島民,魔物,酒場のマスター"
39,CHARACTER_QUEST,年代記の管理者フィーナ,運命の物語,,今日は洗濯日和,2,洗濯と戦いの日常,"ピリカ,主人公,フィーナ,島民,魔物,酒場のマスター"
40,CHARACTER_QUEST,年代記の管理者フィーナ,運命の物語,,今日は洗濯日和,2,洗濯と戦いの日常,"ピリカ,主人公,フィーナ,島民,魔物,酒場のマスター"
41,CHARACTER_QUEST,年代記の管理者フィーナ,運命の物語,,今日は洗濯日和,2,洗濯と戦いの日常,"ピリカ,主人公,フィーナ,島民,魔物,酒場のマスター"
